source_region_id,source_region_name,parent_region_id,parent_region_name,hemisphere,biological_base_name,granularity_level,species_taxon_id,canonical_candidate,circuit_discovery_eligible,normalized_name_en,normalized_name_zh,name_en_status,name_zh_status,identity_note
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_LEFT,MF.lm (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_AMYGDALA_LEFT,MF (Amygdala) left,left,MF.lm (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,MF.lm (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_RIGHT,Area 5L (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL,Area 5L (SPL),right,Area 5L (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 5L (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_LEFT,Area 5L (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL,Area 5L (SPL),left,Area 5L (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 5L (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_RIGHT,Area 7M (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL,Area 7M (SPL),right,Area 7M (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7M (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_LEFT,Area 7M (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL,Area 7M (SPL),left,Area 7M (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7M (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_RIGHT,Area 7PC (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL,Area 7PC (SPL),right,Area 7PC (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7PC (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_LEFT,Area 7PC (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL,Area 7PC (SPL),left,Area 7PC (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7PC (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_RIGHT,Area 5M (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,Area 5M (SPL),right,Area 5M (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 5M (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_LEFT,Area 5M (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,Area 5M (SPL),left,Area 5M (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 5M (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_RIGHT,Area 7P (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL,Area 7P (SPL),right,Area 7P (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7P (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_LEFT,Area 7P (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL,Area 7P (SPL),left,Area 7P (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7P (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_RIGHT,Area 5Ci (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,Area 5Ci (SPL),right,Area 5Ci (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 5Ci (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_LEFT,Area 5Ci (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,Area 5Ci (SPL),left,Area 5Ci (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 5Ci (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_RIGHT,Area 7A (SPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL,Area 7A (SPL),right,Area 7A (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7A (SPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_LEFT,Area 7A (SPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL,Area 7A (SPL),left,Area 7A (SPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 7A (SPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_RIGHT,Area 3b (PostCG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG,Area 3b (PostCG),right,Area 3b (PostCG),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 3b (PostCG) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_LEFT,Area 3b (PostCG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG,Area 3b (PostCG),left,Area 3b (PostCG),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 3b (PostCG) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_RIGHT,Area 1 (PostCG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,Area 1 (PostCG),right,Area 1 (PostCG),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 1 (PostCG) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_LEFT,Area 1 (PostCG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG,Area 1 (PostCG),left,Area 1 (PostCG),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 1 (PostCG) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_RIGHT,Area 2 (PostCS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS,Area 2 (PostCS),right,Area 2 (PostCS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 2 (PostCS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_LEFT,Area 2 (PostCS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS,Area 2 (PostCS),left,Area 2 (PostCS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 2 (PostCS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_RIGHT,Area 3a (PostCG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG,Area 3a (PostCG),right,Area 3a (PostCG),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 3a (PostCG) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_LEFT,Area 3a (PostCG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG,Area 3a (PostCG),left,Area 3a (PostCG),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area 3a (PostCG) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_RIGHT,Area Op1 (POperc) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC,Area Op1 (POperc),right,Area Op1 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op1 (POperc) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_LEFT,Area Op1 (POperc) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC,Area Op1 (POperc),left,Area Op1 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op1 (POperc) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_RIGHT,Area Op2 (POperc) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC,Area Op2 (POperc),right,Area Op2 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op2 (POperc) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_LEFT,Area Op2 (POperc) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC,Area Op2 (POperc),left,Area Op2 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op2 (POperc) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_RIGHT,Area Op3 (POperc) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC,Area Op3 (POperc),right,Area Op3 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op3 (POperc) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_LEFT,Area Op3 (POperc) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC,Area Op3 (POperc),left,Area Op3 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op3 (POperc) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC_RIGHT,Area Op4 (POperc) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC,Area Op4 (POperc),right,Area Op4 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op4 (POperc) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC_LEFT,Area Op4 (POperc) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP4_POPERC,Area Op4 (POperc),left,Area Op4 (POperc),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area Op4 (POperc) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PF_IPL_RIGHT,Area PF (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PF_IPL,Area PF (IPL),right,Area PF (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PF (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PF_IPL_LEFT,Area PF (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PF_IPL,Area PF (IPL),left,Area PF (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PF (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFCM_IPL_RIGHT,Area PFcm (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFCM_IPL,Area PFcm (IPL),right,Area PFcm (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFcm (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFCM_IPL_LEFT,Area PFcm (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFCM_IPL,Area PFcm (IPL),left,Area PFcm (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFcm (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGA_IPL_RIGHT,Area PGa (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGA_IPL,Area PGa (IPL),right,Area PGa (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PGa (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGA_IPL_LEFT,Area PGa (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGA_IPL,Area PGa (IPL),left,Area PGa (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PGa (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFT_IPL_RIGHT,Area PFt (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFT_IPL,Area PFt (IPL),right,Area PFt (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFt (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFT_IPL_LEFT,Area PFt (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFT_IPL,Area PFt (IPL),left,Area PFt (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFt (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFM_IPL_RIGHT,Area PFm (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFM_IPL,Area PFm (IPL),right,Area PFm (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFm (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFM_IPL_LEFT,Area PFm (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFM_IPL,Area PFm (IPL),left,Area PFm (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFm (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGP_IPL_RIGHT,Area PGp (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGP_IPL,Area PGp (IPL),right,Area PGp (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PGp (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGP_IPL_LEFT,Area PGp (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PGP_IPL,Area PGp (IPL),left,Area PGp (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PGp (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFOP_IPL_RIGHT,Area PFop (IPL) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFOP_IPL,Area PFop (IPL),right,Area PFop (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFop (IPL) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFOP_IPL_LEFT,Area PFop (IPL) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_PFOP_IPL,Area PFop (IPL),left,Area PFop (IPL),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area PFop (IPL) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HPO1_POS_RIGHT,Area hPO1 (POS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HPO1_POS,Area hPO1 (POS),right,Area hPO1 (POS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hPO1 (POS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HPO1_POS_LEFT,Area hPO1 (POS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HPO1_POS,Area hPO1 (POS),left,Area hPO1 (POS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hPO1 (POS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS_RIGHT,Area hIP1 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS,Area hIP1 (IPS),right,Area hIP1 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP1 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS_LEFT,Area hIP1 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS,Area hIP1 (IPS),left,Area hIP1 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP1 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP7_IPS_RIGHT,Area hIP7 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP7_IPS,Area hIP7 (IPS),right,Area hIP7 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP7 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP7_IPS_LEFT,Area hIP7 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP7_IPS,Area hIP7 (IPS),left,Area hIP7 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP7 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS_RIGHT,Area hIP3 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS,Area hIP3 (IPS),right,Area hIP3 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP3 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS_LEFT,Area hIP3 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS,Area hIP3 (IPS),left,Area hIP3 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP3 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS_RIGHT,Area hIP2 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS,Area hIP2 (IPS),right,Area hIP2 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP2 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS_LEFT,Area hIP2 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS,Area hIP2 (IPS),left,Area hIP2 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP2 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP4_IPS_RIGHT,Area hIP4 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP4_IPS,Area hIP4 (IPS),right,Area hIP4 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP4 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP4_IPS_LEFT,Area hIP4 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP4_IPS,Area hIP4 (IPS),left,Area hIP4 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP4 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS_RIGHT,Area hIP5 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS,Area hIP5 (IPS),right,Area hIP5 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP5 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS_LEFT,Area hIP5 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS,Area hIP5 (IPS),left,Area hIP5 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP5 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP6_IPS_RIGHT,Area hIP6 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP6_IPS,Area hIP6 (IPS),right,Area hIP6 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP6 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP6_IPS_LEFT,Area hIP6 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP6_IPS,Area hIP6 (IPS),left,Area hIP6 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP6 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP8_IPS_RIGHT,Area hIP8 (IPS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP8_IPS,Area hIP8 (IPS),right,Area hIP8 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP8 (IPS) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP8_IPS_LEFT,Area hIP8 (IPS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP8_IPS,Area hIP8 (IPS),left,Area hIP8 (IPS),G4_MICROSTRUCTURAL_FINE,9606,true,true,Area hIP8 (IPS) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
