source_region_id,source_region_name,parent_region_id,parent_region_name,hemisphere,biological_base_name,granularity_level,species_taxon_id,canonical_candidate,circuit_discovery_eligible,normalized_name_en,normalized_name_zh,name_en_status,name_zh_status,identity_note
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN_RIGHT,Ch 4 (Basal Forebrain) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,Ch 4 (Basal Forebrain),right,Ch 4 (Basal Forebrain),G4_MICROSTRUCTURAL_FINE,9606,true,true,Ch 4 (Basal Forebrain) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN_LEFT,Ch 4 (Basal Forebrain) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,Ch 4 (Basal Forebrain),left,Ch 4 (Basal Forebrain),G4_MICROSTRUCTURAL_FINE,9606,true,true,Ch 4 (Basal Forebrain) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS_RIGHT,"BST (Basal Forebrain, Bed Nucleus) right",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,"BST (Basal Forebrain, Bed Nucleus)",right,"BST (Basal Forebrain, Bed Nucleus)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"BST (Basal Forebrain, Bed Nucleus) right",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS_LEFT,"BST (Basal Forebrain, Bed Nucleus) left",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,"BST (Basal Forebrain, Bed Nucleus)",left,"BST (Basal Forebrain, Bed Nucleus)",G4_MICROSTRUCTURAL_FINE,9606,true,true,"BST (Basal Forebrain, Bed Nucleus) left",,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN_RIGHT,Ch 123 (Basal Forebrain) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,Ch 123 (Basal Forebrain),right,Ch 123 (Basal Forebrain),G4_MICROSTRUCTURAL_FINE,9606,true,true,Ch 123 (Basal Forebrain) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN_LEFT,Ch 123 (Basal Forebrain) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,Ch 123 (Basal Forebrain),left,Ch 123 (Basal Forebrain),G4_MICROSTRUCTURAL_FINE,9606,true,true,Ch 123 (Basal Forebrain) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_RIGHT,CM.AAA (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA_RIGHT,CM (Amygdala) right,right,CM.AAA (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,CM.AAA (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_RIGHT,CM.Ce (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA_RIGHT,CM (Amygdala) right,right,CM.Ce (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,CM.Ce (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_RIGHT,CM.Me (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA_RIGHT,CM (Amygdala) right,right,CM.Me (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,CM.Me (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_LEFT,CM.AAA (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA_LEFT,CM (Amygdala) left,left,CM.AAA (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,CM.AAA (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
