volume_id,role,path,sha256,size_bytes,shape,spacing_mm,dtype,orientation,center_ras,fov_lo_ras,fov_hi_ras,affine
fsaverage_orig.mgz,SOURCE (cortical source volume),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/freesurfer/fsaverage/mri/orig.mgz,97862f8adfa48ff0c22d1441a81554f35c562c2232b43d8738730dc9ceb2c0a1,5250876,"[256, 256, 256]","[1.0, 1.0, 1.0]",uint8,LIA,"[0.5, -0.5, 0.5]","[128.0, -128.0, 128.0]","[-127.0, 127.0, -127.0]","[[-1.0, 0.0, 0.0, 128.0], [0.0, 0.0, 1.0, -128.0], [0.0, -1.0, 0.0, 128.0], [0.0, 0.0, 0.0, 1.0]]"
tpl-MNI305_T1w,AUTHORITATIVE MNI305 reference,D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/templateflow_ref/tpl-MNI305_T1w.nii.gz,ad5bbda698844359dc16e2a50138d0285f0d77eccdc4c7855c75ad8980d7e003,2879454,"[172, 220, 156]","[1.0, 1.0, 1.0]",int16,RAS,"[-0.6, -17.01, 9.25]","[-86.1, -126.51, -68.25]","[84.9, 92.49, 86.75]","[[1.0, 0.0, 0.0, -86.095], [0.0, 1.0, 0.0, -126.51], [0.0, 0.0, 1.0, -68.25], [0.0, 0.0, 0.0, 1.0]]"
tpl-MNI152NLin6Asym_res01_brain,MNI152 frame (multi-hop context),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/templateflow_ref/tpl-MNI152NLin6Asym_res01_desc-brain_T1w.nii.gz,72f8edc99d7e696da7717db20b73897d8da5909d7f30b1c9a7e2a79e9f64ff2f,3293998,"[182, 218, 182]","[1.0, 1.0, 1.0]",int16,RAS,"[-0.5, -17.5, 18.5]","[-91.0, -126.0, -72.0]","[90.0, 91.0, 109.0]","[[1.0, 0.0, 0.0, -91.0], [0.0, 1.0, 0.0, -126.0], [0.0, 0.0, 1.0, -72.0], [0.0, 0.0, 0.0, 1.0]]"
tpl-MNI152NLin2009cAsym_res01_brain,TARGET frame (Julich space),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/templateflow_ref/tpl-MNI152NLin2009cAsym_res01_desc-brain_T1w.nii.gz,97cee2cf7f51388d76d7b3632c8375d688d0fa171e1bede81fcef23726bb3d73,3472309,"[193, 229, 193]","[1.0, 1.0, 1.0]",int16,RAS,"[0.0, -18.0, 18.0]","[-96.0, -132.0, -78.0]","[96.0, 96.0, 114.0]","[[1.0, 0.0, 0.0, -96.0], [0.0, 1.0, 0.0, -132.0], [0.0, 0.0, 1.0, -78.0], [0.0, 0.0, 0.0, 1.0]]"
IDENTITY_TEST_orig_vs_MNI305,moderate anatomical correspondence only; exact grid/world-RAS identity with TemplateFlow tpl-MNI305 is NOT established; an affine/nonlinear whole-brain registration would be required to map between the grids.,D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/templateflow_ref/tpl-MNI305_T1w.nii.gz,,,,,,,,NCC=0.5928,,MI_bits=0.596 | COM_disp_mm=5.53
