relation_id,fine_region_id,fine_name,granularity,atlas,hemisphere,historical_status,proposed_g1_id,proposed_g1_name,proposed_containment,proposed_rank,proposed_dice,best_g1_id,best_containment,second_best_g1_id,second_best_containment,best_non_proposed_g1_id,best_non_proposed_score,margin_vs_best_competitor,fine_voxels,outside_union_voxels,outside_union_fraction,v3_historical,flags,left_fraction,right_fraction,correct_side_fraction,contralateral_fraction
NGIQ-BR-00000029,NGIQ-BR-00000029,SFG_L_7_6,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.43151,1,0.17313,NGIQ-BR-00000294,0.43151,NGIQ-BR-00000269,0.00253,NGIQ-BR-00000269,0.00253,0.42898,5921,3351,0.56595,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,0.98193,0.01807,0.98193,0.01807
NGIQ-BR-00000031,NGIQ-BR-00000031,SFG_L_7_7,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,0.4508,1,0.25649,NGIQ-BR-00000294,0.4508,NGIQ-BR-00000292,0.00043,NGIQ-BR-00000292,0.00043,0.45038,9381,5144,0.54834,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,0.99968,0.00032,0.99968,0.00032
NGIQ-BR-00000033,NGIQ-BR-00000033,MFG_L_7_1,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,0.31496,1,0.24482,NGIQ-BR-00000293,0.31496,NGIQ-BR-00000294,0.00372,NGIQ-BR-00000294,0.00372,0.31124,8598,5858,0.68132,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000035,NGIQ-BR-00000035,MFG_L_7_2,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,0.17087,1,0.19959,NGIQ-BR-00000270,0.17087,NGIQ-BR-00000293,0.04379,NGIQ-BR-00000293,0.04379,0.12708,6783,5213,0.76854,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000037,NGIQ-BR-00000037,MFG_L_7_3,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,0.34028,1,0.24351,NGIQ-BR-00000293,0.34028,NGIQ-BR-00000294,0.02575,NGIQ-BR-00000294,0.02575,0.31453,7535,4777,0.63397,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000039,NGIQ-BR-00000039,MFG_L_7_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,0.31992,1,0.25437,NGIQ-BR-00000293,0.31992,NGIQ-BR-00000286,0.00695,NGIQ-BR-00000286,0.00695,0.31298,8924,6002,0.67257,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000043,NGIQ-BR-00000043,MFG_L_7_6,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,0.28233,1,0.2949,NGIQ-BR-00000270,0.28233,NGIQ-BR-00000294,0.00436,NGIQ-BR-00000294,0.00436,0.27798,5281,3766,0.71312,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000045,NGIQ-BR-00000045,MFG_L_7_7,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,0.42258,1,0.29858,NGIQ-BR-00000293,0.42258,NGIQ-BR-00000294,0.04521,NGIQ-BR-00000294,0.04521,0.37737,7388,3859,0.52233,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000051,NGIQ-BR-00000051,IFG_L_6_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",0.25201,1,0.27101,NGIQ-BR-00000286,0.25201,NGIQ-BR-00000285,0.01547,NGIQ-BR-00000285,0.01547,0.23655,3103,2269,0.73123,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000055,NGIQ-BR-00000055,IFG_L_6_6,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",0.44538,1,0.28575,NGIQ-BR-00000284,0.44538,NGIQ-BR-00000290,0.00882,NGIQ-BR-00000290,0.00882,0.43655,2380,1299,0.5458,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000057,NGIQ-BR-00000057,OrG_L_6_1,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,0.2976,1,0.29833,NGIQ-BR-00000280,0.2976,NGIQ-BR-00000294,0.08452,NGIQ-BR-00000294,0.08452,0.21308,4496,2774,0.61699,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000061,NGIQ-BR-00000061,OrG_L_6_3,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,0.47185,1,0.48296,NGIQ-BR-00000278,0.47185,NGIQ-BR-00000293,0.00595,NGIQ-BR-00000293,0.00595,0.46591,8242,4261,0.51699,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
