geometry_id,hemisphere,output_sha256,weighted_volume_mm3,support_voxels,centroid_mm,included_channel_count,max_abs_conservation_residual,hippocampal_contamination_argmax_fraction
GEO-G1-AMYG-L-FS2009CSYM-V1,left,6aceaf66bc6f4baf5df430d9c65a7717d925564873dec00695940908f0c716c7,2318.24,311378,"-23.52,-3.75,-20.06",9,0.0,0.008907
GEO-G1-AMYG-R-FS2009CSYM-V1,right,e3f7f2acbd6da0db94daf4ef16db8949aee029d146857edab1571e1502489b97,2318.24,311378,"23.52,-3.75,-20.06",9,0.0,0.008907
