label_id,label_name,hemisphere,dk_name
1161,ctx-lh-S_occipital_middle_and_Lunatus,left,S_occipital_middle_and_Lunatus
1162,ctx-lh-S_occipital_superior_and_transversalis,left,S_occipital_superior_and_transversalis
1163,ctx-lh-S_occipito-temporal_lateral,left,S_occipito-temporal_lateral
1164,ctx-lh-S_occipito-temporal_medial_and_S_Lingual,left,S_occipito-temporal_medial_and_S_Lingual
1165,ctx-lh-S_orbital-H_shapped,left,S_orbital-H_shapped
1166,ctx-lh-S_orbital_lateral,left,S_orbital_lateral
1167,ctx-lh-S_orbital_medial-Or_olfactory,left,S_orbital_medial-Or_olfactory
1168,ctx-lh-S_paracentral,left,S_paracentral
1169,ctx-lh-S_parieto_occipital,left,S_parieto_occipital
1170,ctx-lh-S_pericallosal,left,S_pericallosal
1171,ctx-lh-S_postcentral,left,S_postcentral
1172,ctx-lh-S_precentral-Inferior-part,left,S_precentral-Inferior-part
1173,ctx-lh-S_precentral-Superior-part,left,S_precentral-Superior-part
1174,ctx-lh-S_subcentral_ant,left,S_subcentral_ant
1175,ctx-lh-S_subcentral_post,left,S_subcentral_post
1176,ctx-lh-S_suborbital,left,S_suborbital
1177,ctx-lh-S_subparietal,left,S_subparietal
1178,ctx-lh-S_supracingulate,left,S_supracingulate
1179,ctx-lh-S_temporal_inferior,left,S_temporal_inferior
1180,ctx-lh-S_temporal_superior,left,S_temporal_superior
1181,ctx-lh-S_temporal_transverse,left,S_temporal_transverse
1200,ctx-lh-G_cingulate-caudal_ACC,left,G_cingulate-caudal_ACC
1201,ctx-lh-G_cingulate-rostral_ACC,left,G_cingulate-rostral_ACC
1202,ctx-lh-G_cingulate-posterior,left,G_cingulate-posterior
1205,ctx-lh-S_cingulate-caudal_ACC,left,S_cingulate-caudal_ACC
1206,ctx-lh-S_cingulate-rostral_ACC,left,S_cingulate-rostral_ACC
1207,ctx-lh-S_cingulate-posterior,left,S_cingulate-posterior
1210,ctx-lh-S_pericallosal-caudal,left,S_pericallosal-caudal
1211,ctx-lh-S_pericallosal-rostral,left,S_pericallosal-rostral
1212,ctx-lh-S_pericallosal-posterior,left,S_pericallosal-posterior
2000,ctx-rh-unknown,right,unknown
2001,ctx-rh-bankssts,right,bankssts
2002,ctx-rh-caudalanteriorcingulate,right,caudalanteriorcingulate
2003,ctx-rh-caudalmiddlefrontal,right,caudalmiddlefrontal
2004,ctx-rh-corpuscallosum,right,corpuscallosum
2005,ctx-rh-cuneus,right,cuneus
2006,ctx-rh-entorhinal,right,entorhinal
2007,ctx-rh-fusiform,right,fusiform
2008,ctx-rh-inferiorparietal,right,inferiorparietal
2009,ctx-rh-inferiortemporal,right,inferiortemporal
2010,ctx-rh-isthmuscingulate,right,isthmuscingulate
