geometry_id,hemisphere,output_sha256,weighted_volume_mm3,support_voxels,centroid_mm,max_abs_conservation_residual,amygdala_contamination_fraction
GEO-G1-HIPP-L-FS2009CSYM-V1,left,f0599f696a0342233ee503e80ff593842bb725cd010d4422d3ffa46559212bee,2911.527,440242,"-25.83,-23.51,-12.73",0.0,0.016509
GEO-G1-HIPP-R-FS2009CSYM-V1,right,1e7d9ee789d4b254cee576f21f403c8cd7454da21b944f3c94c3e70243379d77,2911.527,440242,"25.83,-23.51,-12.73",0.0,0.016509
