fine_region_id,hemisphere,gm_mass,raw_proposed_containment,gm_weighted_proposed_containment,raw_proposed_rank,gm_weighted_rank,raw_best_competitor,gm_best_non_proposed_id,gm_best_non_proposed_score,gm_margin,gm_inside_full_dk_fraction,gm_outside_full_dk_fraction
NGIQ-BR-00000165,left,3762.94,0.48168,0.55377,1,1,NGIQ-BR-00000290,NGIQ-BR-00000290,0.00497,0.5488,0.48976,0.51024
NGIQ-BR-00000167,left,3596.02,0.31035,0.34986,1,1,NGIQ-BR-00000295,NGIQ-BR-00000295,0.01855,0.33131,0.32688,0.67312
NGIQ-BR-00000169,left,1861.48,0.29878,0.35589,1,1,NGIQ-BR-00000290,NGIQ-BR-00000290,0.01016,0.34574,0.30825,0.69175
NGIQ-BR-00000171,left,1458.14,0.54169,0.63441,1,1,NGIQ-BR-00000278,NGIQ-BR-00000278,0.05518,0.57923,0.58903,0.41097
NGIQ-BR-00000173,left,1829.95,0.57111,0.61209,1,1,NGIQ-BR-00000278,NGIQ-BR-00000278,0.0057,0.60639,0.5779,0.4221
NGIQ-BR-00000175,left,1719.89,0.5658,0.63564,1,1,NGIQ-BR-00000296,NGIQ-BR-00000296,0.06379,0.57184,0.62175,0.37825
NGIQ-BR-00000177,left,1936.63,0.60148,0.65155,1,1,NGIQ-BR-00000288,NGIQ-BR-00000288,0.03101,0.62055,0.63442,0.36558
NGIQ-BR-00000179,left,2679.13,0.48556,0.51836,1,1,NGIQ-BR-00000284,NGIQ-BR-00000284,0.08646,0.4319,0.59532,0.40468
NGIQ-BR-00000187,left,2136.8,0.40796,0.42117,1,1,NGIQ-BR-00000291,NGIQ-BR-00000289,0.0254,0.39576,0.45953,0.54047
NGIQ-BR-00000191,left,4028.99,0.29776,0.28987,1,1,NGIQ-BR-00000283,NGIQ-BR-00000283,0.06554,0.22434,0.38839,0.61161
NGIQ-BR-00000193,left,4036.59,0.25503,0.25829,1,1,NGIQ-BR-00000280,NGIQ-BR-00000280,0.03002,0.22827,0.31555,0.68445
NGIQ-BR-00000199,left,5048.14,0.34222,0.34142,1,1,NGIQ-BR-00000273,NGIQ-BR-00000273,0.00626,0.33516,0.34966,0.65034
NGIQ-BR-00000203,left,3330.44,0.20107,0.19602,1,1,NGIQ-BR-00000274,NGIQ-BR-00000274,0.02673,0.16929,0.22941,0.77059
NGIQ-BR-00000205,left,3590.92,0.19458,0.22085,1,1,NGIQ-BR-00000274,NGIQ-BR-00000274,0.03025,0.1906,0.22718,0.77282
NGIQ-BR-00000207,left,3307.57,0.23958,0.28415,1,1,NGIQ-BR-00000287,NGIQ-BR-00000287,0.0029,0.28125,0.24259,0.75741
NGIQ-BR-00000209,left,4160.38,0.22003,0.26879,1,1,NGIQ-BR-00000273,NGIQ-BR-00000273,0.00564,0.26315,0.22738,0.77262
NGIQ-BR-00000002,right,4847.5,0.43989,0.49232,1,1,NGIQ-BR-00000300,NGIQ-BR-00000300,0.00511,0.48721,0.44441,0.55559
NGIQ-BR-00000004,right,1870.61,0.21155,0.17877,1,1,NGIQ-BR-00000324,NGIQ-BR-00000324,0.02739,0.15138,0.2471,0.7529
NGIQ-BR-00000008,right,3835.97,0.39195,0.48975,1,1,NGIQ-BR-00000306,NGIQ-BR-00000306,0.0032,0.48654,0.39568,0.60432
NGIQ-BR-00000010,right,2198.42,0.2974,0.30555,1,1,NGIQ-BR-00000322,NGIQ-BR-00000322,0.0021,0.30345,0.29884,0.70116
NGIQ-BR-00000012,right,6005.45,0.25888,0.28303,1,1,NGIQ-BR-00000312,NGIQ-BR-00000312,0.0044,0.27863,0.26527,0.73473
NGIQ-BR-00000014,right,1745.36,0.5064,0.55426,1,1,NGIQ-BR-00000329,NGIQ-BR-00000329,0.01959,0.53467,0.54084,0.45916
NGIQ-BR-00000016,right,2887.29,0.21549,0.23109,1,1,NGIQ-BR-00000318,NGIQ-BR-00000318,0.03558,0.19551,0.26021,0.73979
NGIQ-BR-00000022,right,3711.46,0.33706,0.40011,1,1,NGIQ-BR-00000301,NGIQ-BR-00000301,0.00914,0.39098,0.34673,0.65327
NGIQ-BR-00000024,right,4431.29,0.51379,0.61358,1,1,NGIQ-BR-00000324,NGIQ-BR-00000324,0.00123,0.61235,0.51461,0.48539
NGIQ-BR-00000026,right,2829.97,0.4,0.47726,1,1,NGIQ-BR-00000301,NGIQ-BR-00000301,0.00876,0.4685,0.40609,0.59391
NGIQ-BR-00000028,right,3851.67,0.24359,0.25885,1,1,NGIQ-BR-00000314,NGIQ-BR-00000314,0.06667,0.19218,0.32619,0.67381
NGIQ-BR-00000030,right,5278.65,0.43988,0.50152,1,1,NGIQ-BR-00000300,NGIQ-BR-00000300,0.00413,0.49739,0.44474,0.55526
NGIQ-BR-00000032,right,5452.1,0.41926,0.46382,1,1,NGIQ-BR-00000323,NGIQ-BR-00000323,0.00229,0.46152,0.42131,0.57869
NGIQ-BR-00000034,right,5290.98,0.21148,0.22533,1,1,NGIQ-BR-00000301,NGIQ-BR-00000301,0.04505,0.18028,0.2689,0.7311
NGIQ-BR-00000036,right,2987.04,0.16302,0.14941,1,1,NGIQ-BR-00000324,NGIQ-BR-00000321,0.01558,0.13383,0.19726,0.80274
NGIQ-BR-00000038,right,5512.54,0.29951,0.3165,1,1,NGIQ-BR-00000325,NGIQ-BR-00000325,0.01957,0.29693,0.31711,0.68289
NGIQ-BR-00000040,right,5314.82,0.33596,0.3647,1,1,NGIQ-BR-00000317,NGIQ-BR-00000315,0.00268,0.36203,0.3426,0.6574
NGIQ-BR-00000044,right,2908.26,0.35291,0.40301,1,1,NGIQ-BR-00000325,NGIQ-BR-00000325,0.00869,0.39433,0.36263,0.63737
NGIQ-BR-00000046,right,5516.9,0.39366,0.44409,1,1,NGIQ-BR-00000325,NGIQ-BR-00000325,0.04123,0.40287,0.4442,0.5558
