code,comp,g1_side,g1_sha256,parcel_volume_mm3,pct_min,pct_p05,pct_p10,pct_p25,pct_median,pct_p75,pct_p90,pct_p95,pct_max,mean,band_p_eq_0,band_p_0_0_1,band_p_0_1_0_25,band_p_0_25_0_5,band_p_0_5_0_75,band_p_ge_0_75
Tha_L_8_1,231,L,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,1990.985,0.0,0.0,0.0,0.00738,0.7203,1.0,1.0,1.0,1.0,0.74662,0.074462,0.101044,0.033997,0.03729,0.04477,0.708437
Tha_L_8_2,233,L,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,1411.379,0.0,0.0,0.0,0.0,0.08629,0.99348,1.0,1.0,1.0,0.1232,0.468069,0.358678,0.035687,0.023937,0.0172,0.096428
Tha_L_8_3,235,L,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,1501.892,0.0,0.0,0.0,0.0002,0.32746,0.99953,1.0,1.0,1.0,0.46818,0.158872,0.260335,0.063676,0.055254,0.052865,0.408998
Tha_L_8_4,237,L,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,2065.892,0.0,0.0,0.0,0.00447,0.53871,0.99946,1.0,1.0,1.0,0.53843,0.093206,0.232358,0.068373,0.068545,0.071355,0.466162
Tha_R_8_1,232,R,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,1802.728,0.0,0.0,0.0006,0.08157,0.93587,1.0,1.0,1.0,1.0,0.80976,0.032961,0.079887,0.032428,0.038158,0.046051,0.770516
Tha_R_8_2,234,R,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,1805.201,0.0,0.0,0.0,0.01612,0.76853,1.0,1.0,1.0,1.0,0.51914,0.07062,0.267327,0.078567,0.071487,0.064148,0.447852
Tha_R_8_3,236,R,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,1314.072,0.0,0.0,0.0,0.03542,0.90014,1.0,1.0,1.0,1.0,0.57538,0.047839,0.240178,0.076198,0.068046,0.060111,0.507629
Tha_R_8_4,238,R,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,1665.543,0.0,0.0,0.0,0.0037,0.444,0.99788,1.0,1.0,1.0,0.30418,0.175033,0.369779,0.09459,0.067697,0.068839,0.224062
