direction,mean_mm,median_mm,p90_mm,p95_mm,p99_mm,max_mm,n
moving->fixed->moving,0.003077334125662322,0.000537013615318353,0.009032740825014011,0.01357748541561625,0.025067814613157276,0.06206466988817306,1800
fixed->moving->fixed,0.0074238359666464184,0.004802123455125113,0.015848926883222605,0.023203507696852633,0.04280873413934573,0.10170875311272143,6000
