family_id,canonical_g1_id,g1_name,hemisphere,dk_label,lut_label_id,lut_name,annotation_vertex_count,voxel_count,volume_mm3,centroid_ras,bbox_ras,connected_components,largest_component_fraction,single_voxel_islands,interior_fraction,slices,correct_side_fraction,contralateral_fraction,fov_clip_fraction,boundary_touching,source_annotation_consistent,ribbon_volume_valid
F1_LARGE_LATERAL,NGIQ-BR-00000290,Left Precentral Gyrus,left,precentral,1024,ctx-lh-precentral,10740,11310,11310.0,"[-40.27, -9.1, 42.07]","[[-2.0, -40.0, 77.0], [-62.0, 9.0, -2.0]]",2,0.99991,1,0.32246,"{'x': 61, 'y': 80, 'z': 50}",1.0,0.0,0.0,False,True,True
F2_MEDIAL,NGIQ-BR-00000289,Left Posterior Cingulate Cortex,left,posteriorcingulate,1023,ctx-lh-posteriorcingulate,3266,3073,3073.0,"[-6.13, -17.63, 36.9]","[[-1.0, -38.0, 45.0], [-17.0, 8.0, 27.0]]",2,0.99967,1,0.33388,"{'x': 17, 'y': 19, 'z': 47}",1.0,0.0,0.0,False,True,True
F3_INFERIOR_TEMPORAL,NGIQ-BR-00000273,Left Fusiform Gyrus,left,fusiform,1007,ctx-lh-fusiform,4714,5955,5955.0,"[-35.34, -43.78, -22.15]","[[-23.0, -81.0, -5.0], [-46.0, 6.0, -47.0]]",1,1.0,0,0.32443,"{'x': 24, 'y': 43, 'z': 88}",1.0,0.0,0.0,False,True,True
