geometry_id,canonical_region_id,name,hemisphere,dk_label,fs_label_id,source_geometry_id,voxel_count,volume_mm3,centroid_ras,bbox_ras,connected_components,largest_component_fraction,single_voxel_islands,correct_side_fraction,contralateral_fraction,source_target_volume_ratio,fov_clip_fraction,boundary_touching,geometry_sha256
GEO-G1-CORT-NGIQ-BR-00000281-MNI2009CASYM-V1,NGIQ-BR-00000281,Left Middle Temporal Gyrus,left,middletemporal,1015,GEO-G1-CORT-NGIQ-BR-00000281-FSAVG-V1,8759,8759.0,"[-59.93, -23.73, -14.59]","[[-72.0, -67.0, -43.0], [-42.0, 18.0, 14.0]]",4,0.999543,2,1.0,0.0,1.34795,0.0,False,09b52ceeaf7affd27528bfc449e784d0658ddd7f0ce610e914260d59fd57b5e9
GEO-G1-CORT-NGIQ-BR-00000282-MNI2009CASYM-V1,NGIQ-BR-00000282,Left Parahippocampal Gyrus,left,parahippocampal,1016,GEO-G1-CORT-NGIQ-BR-00000282-FSAVG-V1,2051,2051.0,"[-24.24, -28.15, -19.92]","[[-37.0, -45.0, -35.0], [-13.0, -15.0, -5.0]]",3,0.998537,1,1.0,0.0,1.0545,0.0,False,5253ac2256cc31faaa23b1645d95a94b79ecf08ff035cc0b3fdca75c5deba97a
GEO-G1-CORT-NGIQ-BR-00000283-MNI2009CASYM-V1,NGIQ-BR-00000283,Left Paracentral Lobule,left,paracentral,1017,GEO-G1-CORT-NGIQ-BR-00000283-FSAVG-V1,4730,4730.0,"[-7.83, -28.05, 59.36]","[[-20.0, -46.0, 37.0], [-1.0, -11.0, 80.0]]",3,0.999577,2,1.0,0.0,1.38954,0.0,False,257edb7338cd68676da211e5be3b1c812aeb02e5c8fa0e6c54ca1643b707b7c2
GEO-G1-CORT-NGIQ-BR-00000284-MNI2009CASYM-V1,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",left,parsopercularis,1018,GEO-G1-CORT-NGIQ-BR-00000284-FSAVG-V1,5039,5039.0,"[-47.6, 16.14, 14.51]","[[-62.0, 2.0, -3.0], [-30.0, 29.0, 28.0]]",2,0.999802,1,1.0,0.0,1.42385,0.0,False,a6d77508743c80142e26e7774605d05f6384aec887904f478c92b48f27812875
GEO-G1-CORT-NGIQ-BR-00000285-MNI2009CASYM-V1,NGIQ-BR-00000285,"Left Inferior Frontal Gyrus, Pars Orbitalis",left,parsorbitalis,1019,GEO-G1-CORT-NGIQ-BR-00000285-FSAVG-V1,1928,1928.0,"[-43.15, 43.34, -12.38]","[[-54.0, 26.0, -19.0], [-33.0, 57.0, -5.0]]",2,0.999481,1,1.0,0.0,1.25195,0.0,False,8f162a6798aa5cd65bab7aed19ddfbfe9e28d25087ab27af2cdddded06e6b17e
GEO-G1-CORT-NGIQ-BR-00000286-MNI2009CASYM-V1,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",left,parstriangularis,1020,GEO-G1-CORT-NGIQ-BR-00000286-FSAVG-V1,2668,2668.0,"[-46.25, 32.8, 3.52]","[[-59.0, 20.0, -13.0], [-26.0, 42.0, 15.0]]",8,0.997376,7,1.0,0.0,1.33333,0.0,False,4a52a4867964ea04cc76f9186ef130e6fd5fdcd1ccf87fb7bef0b01e3fc373c7
GEO-G1-CORT-NGIQ-BR-00000287-MNI2009CASYM-V1,NGIQ-BR-00000287,Left Pericalcarine Cortex,left,pericalcarine,1021,GEO-G1-CORT-NGIQ-BR-00000287-FSAVG-V1,1827,1827.0,"[-11.09, -82.35, 7.38]","[[-27.0, -102.0, -8.0], [-2.0, -65.0, 15.0]]",8,0.995621,6,1.0,0.0,1.20356,0.0,False,e33fc2c1f6beef3cca641b9e42e608f269db52fcf8294e25938870a058eaf08b
GEO-G1-CORT-NGIQ-BR-00000288-MNI2009CASYM-V1,NGIQ-BR-00000288,Left Postcentral Gyrus,left,postcentral,1022,GEO-G1-CORT-NGIQ-BR-00000288-FSAVG-V1,10218,10218.0,"[-45.86, -21.67, 43.14]","[[-70.0, -45.0, 7.0], [-4.0, -4.0, 83.0]]",5,0.999609,4,1.0,0.0,1.27232,0.0,False,6d3ca676869177d2c0e1029591367439623e5a322025d35dc733f1dffcdd8620
GEO-G1-CORT-NGIQ-BR-00000289-MNI2009CASYM-V1,NGIQ-BR-00000289,Left Posterior Cingulate Cortex,left,posteriorcingulate,1023,GEO-G1-CORT-NGIQ-BR-00000289-FSAVG-V1,4233,4233.0,"[-6.8, -16.52, 36.52]","[[-19.0, -38.0, 25.0], [-2.0, 7.0, 45.0]]",5,0.998583,2,1.0,0.0,1.37748,0.0,False,f4912c9d409fc085465769fff5349e1d5802041f5c0e94660b8c9496a5efab45
GEO-G1-CORT-NGIQ-BR-00000290-MNI2009CASYM-V1,NGIQ-BR-00000290,Left Precentral Gyrus,left,precentral,1024,GEO-G1-CORT-NGIQ-BR-00000290-FSAVG-V1,13334,13334.0,"[-40.64, -8.58, 44.57]","[[-66.0, -42.0, -3.0], [-2.0, 11.0, 81.0]]",11,0.99925,10,1.0,0.0,1.17896,0.0,False,7f942f2610498a2385ca71ada5932066b08d12dd1708efed04ae77b8a31af9b8
GEO-G1-CORT-NGIQ-BR-00000291-MNI2009CASYM-V1,NGIQ-BR-00000291,Left Precuneus,left,precuneus,1025,GEO-G1-CORT-NGIQ-BR-00000291-FSAVG-V1,8502,8502.0,"[-10.34, -57.48, 39.19]","[[-28.0, -80.0, 6.0], [-2.0, -36.0, 79.0]]",7,0.999294,6,1.0,0.0,1.3084,0.0,False,26576907ab6bd54870ee982854ffeef6bbf776605316a440b05bcd804ec8626f
GEO-G1-CORT-NGIQ-BR-00000292-MNI2009CASYM-V1,NGIQ-BR-00000292,Left Rostral Anterior Cingulate Cortex,left,rostralanteriorcingulate,1026,GEO-G1-CORT-NGIQ-BR-00000292-FSAVG-V1,2255,2255.0,"[-6.54, 37.61, 3.57]","[[-15.0, 21.0, -11.0], [-2.0, 47.0, 19.0]]",3,0.999113,2,1.0,0.0,1.11138,0.0,False,f85b0c3f5ffaa015254deba811b0c22d0599965287becfbb8fc16c5261b252f9
GEO-G1-CORT-NGIQ-BR-00000293-MNI2009CASYM-V1,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,left,rostralmiddlefrontal,1027,GEO-G1-CORT-NGIQ-BR-00000293-FSAVG-V1,13524,13524.0,"[-31.89, 48.47, 15.61]","[[-52.0, 17.0, -21.0], [-12.0, 72.0, 48.0]]",5,0.99963,3,1.0,0.0,1.52006,0.0,False,38237ba051b6acfa80a586f7436970b0ecb08c975254cac8a5235b09f519fc9c
GEO-G1-CORT-NGIQ-BR-00000294-MNI2009CASYM-V1,NGIQ-BR-00000294,Left Superior Frontal Gyrus,left,superiorfrontal,1028,GEO-G1-CORT-NGIQ-BR-00000294-FSAVG-V1,23595,23595.0,"[-11.13, 31.57, 43.6]","[[-28.0, -16.0, -5.0], [-1.0, 73.0, 78.0]]",4,0.999873,3,1.0,0.0,1.35339,0.0,False,47920aa20f32a1d3d4d51b1ce837b962b7a9bc8f963babacaabf87d21d94bb72
GEO-G1-CORT-NGIQ-BR-00000295-MNI2009CASYM-V1,NGIQ-BR-00000295,Left Superior Parietal Lobule,left,superiorparietal,1029,GEO-G1-CORT-NGIQ-BR-00000295-FSAVG-V1,9313,9313.0,"[-22.42, -64.75, 50.48]","[[-45.0, -97.0, 13.0], [-2.0, -35.0, 81.0]]",7,0.999356,6,1.0,0.0,1.2424,0.0,False,48d76e5d48c4beaaa4e5693e07ca9ed792a62ad845bc30f39b920b1b5a7984ab
GEO-G1-CORT-NGIQ-BR-00000296-MNI2009CASYM-V1,NGIQ-BR-00000296,Left Superior Temporal Gyrus,left,superiortemporal,1030,GEO-G1-CORT-NGIQ-BR-00000296-FSAVG-V1,11394,11394.0,"[-53.49, -8.93, -5.15]","[[-72.0, -54.0, -36.0], [-33.0, 24.0, 22.0]]",3,0.999824,2,1.0,0.0,1.21783,0.0,False,882cee129c185d8e3c5b8dfe9fe019023edd5e588a1fd8e553eca893c93a1f35
GEO-G1-CORT-NGIQ-BR-00000297-MNI2009CASYM-V1,NGIQ-BR-00000297,Left Supramarginal Gyrus,left,supramarginal,1031,GEO-G1-CORT-NGIQ-BR-00000297-FSAVG-V1,8735,8735.0,"[-54.26, -38.01, 33.54]","[[-69.0, -57.0, 15.0], [-33.0, -19.0, 55.0]]",3,0.999771,2,1.0,0.0,1.27147,0.0,False,94101649f0daf40362f067ee4284be808dcf526a47d4136333c0c8dfe10f44ac
GEO-G1-CORT-NGIQ-BR-00000298-MNI2009CASYM-V1,NGIQ-BR-00000298,Left Transverse Temporal Gyrus,left,transversetemporal,1034,GEO-G1-CORT-NGIQ-BR-00000298-FSAVG-V1,1408,1408.0,"[-43.41, -22.56, 9.02]","[[-58.0, -35.0, 1.0], [-31.0, -9.0, 18.0]]",3,0.997869,1,1.0,0.0,1.2201,0.0,False,3503749cab9cb3b8fe9881efd4c45f4561f6ba713c5f208a8f6b227b9f8c3171
GEO-G1-CORT-NGIQ-BR-00000299-MNI2009CASYM-V1,NGIQ-BR-00000299,Left Insula,left,insula,1035,GEO-G1-CORT-NGIQ-BR-00000299-FSAVG-V1,8516,8516.0,"[-35.87, 0.97, 1.26]","[[-45.0, -36.0, -22.0], [-25.0, 27.0, 24.0]]",2,0.999883,1,1.0,0.0,1.29679,0.0,False,c2aea243efd7b602139a8f8b5ae82d2e304085e4650355023b4e59fcc623be13
GEO-G1-CORT-NGIQ-BR-00000300-MNI2009CASYM-V1,NGIQ-BR-00000300,Right Caudal Anterior Cingulate Cortex,right,caudalanteriorcingulate,2002,GEO-G1-CORT-NGIQ-BR-00000300-FSAVG-V1,2860,2860.0,"[6.78, 20.99, 26.65]","[[2.0, 2.0, 10.0], [14.0, 38.0, 41.0]]",5,0.997552,3,0.0,1.0,1.42786,0.0,False,6bfd6ad36c1cbf8001c8361746086310e8413af372fd9b3e7520940b07ecd854
GEO-G1-CORT-NGIQ-BR-00000301-MNI2009CASYM-V1,NGIQ-BR-00000301,Right Caudal Middle Frontal Gyrus,right,caudalmiddlefrontal,2003,GEO-G1-CORT-NGIQ-BR-00000301-FSAVG-V1,4981,4981.0,"[36.03, 13.72, 49.34]","[[22.0, -5.0, 25.0], [47.0, 33.0, 65.0]]",1,1.0,0,0.0,1.0,1.465,0.0,False,d0ee0e1936683220e0e8b30cd7768cd879062c33a61c68ab451610e465b885b8
GEO-G1-CORT-NGIQ-BR-00000302-MNI2009CASYM-V1,NGIQ-BR-00000302,Right Cuneus,right,cuneus,2005,GEO-G1-CORT-NGIQ-BR-00000302-FSAVG-V1,2394,2394.0,"[9.81, -78.23, 21.66]","[[2.0, -100.0, 7.0], [25.0, -61.0, 41.0]]",3,0.999165,2,0.0,1.0,1.17815,0.0,False,8ffc23b89d062030e40a8d520ba7017a1b219a8b31b2885f6d1d4bc3b335469a
GEO-G1-CORT-NGIQ-BR-00000303-MNI2009CASYM-V1,NGIQ-BR-00000303,Right Entorhinal Cortex,right,entorhinal,2006,GEO-G1-CORT-NGIQ-BR-00000303-FSAVG-V1,1762,1762.0,"[22.33, -1.91, -36.19]","[[16.0, -16.0, -49.0], [33.0, 11.0, -27.0]]",3,0.998297,1,0.0,1.0,1.26671,0.0,False,23c36624da2c45ad19955a73f204f40f7d72d879e2cb77c7b2a78aaceb4838a1
