threshold_candidate,threshold_cross,pass_93,pass_86_anchors
0.5,0.05,0,0
0.5,0.1,0,0
0.5,0.2,0,0
0.6,0.05,0,0
0.6,0.1,0,0
0.6,0.2,0,0
0.7,0.05,0,0
0.7,0.1,0,0
0.7,0.2,0,0
0.8,0.05,0,0
0.8,0.1,0,0
0.8,0.2,0,0
0.9,0.05,0,0
0.9,0.1,0,0
0.9,0.2,0,0
