relation_id,fine_region_id,fine_region_name,parcel_id,fine_granularity,fine_atlas,hemisphere,proposed_g1_id,proposed_g1_name,historical_status,historical_reason
NGIQ-BR-00000147,NGIQ-BR-00000147,IPL_L_6_3,139,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000297,Left Supramarginal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000148,NGIQ-BR-00000148,IPL_R_6_3,140,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000328,Right Supramarginal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000149,NGIQ-BR-00000149,IPL_L_6_4,141,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000297,Left Supramarginal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000150,NGIQ-BR-00000150,IPL_R_6_4,142,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000328,Right Supramarginal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000151,NGIQ-BR-00000151,IPL_L_6_5,143,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000274,Left Inferior Parietal Lobule,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000152,NGIQ-BR-00000152,IPL_R_6_5,144,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000305,Right Inferior Parietal Lobule,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000153,NGIQ-BR-00000153,IPL_L_6_6,145,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000297,Left Supramarginal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000154,NGIQ-BR-00000154,IPL_R_6_6,146,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000328,Right Supramarginal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000155,NGIQ-BR-00000155,PCun_L_4_1,147,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000291,Left Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000156,NGIQ-BR-00000156,PCun_R_4_1,148,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000322,Right Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000157,NGIQ-BR-00000157,PCun_L_4_2,149,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000291,Left Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000158,NGIQ-BR-00000158,PCun_R_4_2,150,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000322,Right Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000159,NGIQ-BR-00000159,PCun_L_4_3,151,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000291,Left Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000160,NGIQ-BR-00000160,PCun_R_4_3,152,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000322,Right Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000161,NGIQ-BR-00000161,PCun_L_4_4,153,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000291,Left Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000162,NGIQ-BR-00000162,PCun_R_4_4,154,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000322,Right Precuneus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000163,NGIQ-BR-00000163,PoG_L_4_1,155,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000288,Left Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000164,NGIQ-BR-00000164,PoG_R_4_1,156,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000319,Right Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000165,NGIQ-BR-00000165,PoG_L_4_2,157,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000288,Left Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000166,NGIQ-BR-00000166,PoG_R_4_2,158,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000319,Right Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000167,NGIQ-BR-00000167,PoG_L_4_3,159,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000288,Left Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000168,NGIQ-BR-00000168,PoG_R_4_3,160,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000319,Right Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000169,NGIQ-BR-00000169,PoG_L_4_4,161,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000288,Left Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000170,NGIQ-BR-00000170,PoG_R_4_4,162,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000319,Right Postcentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000013,NGIQ-BR-00000013,INS_L_6_1,163,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000299,Left Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000014,NGIQ-BR-00000014,INS_R_6_1,164,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000330,Right Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000171,NGIQ-BR-00000171,INS_L_6_2,165,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000299,Left Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000172,NGIQ-BR-00000172,INS_R_6_2,166,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000330,Right Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000173,NGIQ-BR-00000173,INS_L_6_3,167,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000299,Left Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000174,NGIQ-BR-00000174,INS_R_6_3,168,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000330,Right Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000175,NGIQ-BR-00000175,INS_L_6_4,169,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000299,Left Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000176,NGIQ-BR-00000176,INS_R_6_4,170,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000330,Right Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000177,NGIQ-BR-00000177,INS_L_6_5,171,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000299,Left Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000178,NGIQ-BR-00000178,INS_R_6_5,172,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000330,Right Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000179,NGIQ-BR-00000179,INS_L_6_6,173,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000299,Left Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000180,NGIQ-BR-00000180,INS_R_6_6,174,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000330,Right Insula,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000187,NGIQ-BR-00000187,CG_L_7_4,181,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000276,Left Isthmus Of Cingulate Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000188,NGIQ-BR-00000188,CG_R_7_4,182,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000307,Right Isthmus Of Cingulate Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000191,NGIQ-BR-00000191,CG_L_7_6,185,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000289,Left Posterior Cingulate Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000192,NGIQ-BR-00000192,CG_R_7_6,186,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000320,Right Posterior Cingulate Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000193,NGIQ-BR-00000193,CG_L_7_7,187,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000292,Left Rostral Anterior Cingulate Cortex,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000194,NGIQ-BR-00000194,CG_R_7_7,188,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000323,Right Rostral Anterior Cingulate Cortex,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000015,NGIQ-BR-00000015,MVOcC_L_5_1,189,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000279,Left Lingual Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000016,NGIQ-BR-00000016,MVOcC_R_5_1,190,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000310,Right Lingual Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000199,NGIQ-BR-00000199,MVOcC_L_5_4,195,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000279,Left Lingual Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000200,NGIQ-BR-00000200,MVOcC_R_5_4,196,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000310,Right Lingual Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000203,NGIQ-BR-00000203,LOcC_L_4_1,199,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000277,Left Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000204,NGIQ-BR-00000204,LOcC_R_4_1,200,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000308,Right Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000205,NGIQ-BR-00000205,LOcC_L_4_2,201,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000277,Left Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000206,NGIQ-BR-00000206,LOcC_R_4_2,202,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000308,Right Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000207,NGIQ-BR-00000207,LOcC_L_4_3,203,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000277,Left Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000208,NGIQ-BR-00000208,LOcC_R_4_3,204,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000308,Right Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000209,NGIQ-BR-00000209,LOcC_L_4_4,205,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000277,Left Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000210,NGIQ-BR-00000210,LOcC_R_4_4,206,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000308,Right Lateral Occipital Cortex,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
