relation_id,fine_region_id,fine_region_name,parcel_id,fine_granularity,fine_atlas,hemisphere,proposed_g1_id,proposed_g1_name,historical_status,historical_reason
NGIQ-BR-00000003,NGIQ-BR-00000003,IFG_L_6_1,29,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000004,NGIQ-BR-00000004,IFG_R_6_1,30,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000315,"Right Inferior Frontal Gyrus, Pars Opercularis",APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000051,NGIQ-BR-00000051,IFG_L_6_4,35,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000052,NGIQ-BR-00000052,IFG_R_6_4,36,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000317,"Right Inferior Frontal Gyrus, Pars Triangularis",APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000055,NGIQ-BR-00000055,IFG_L_6_6,39,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000056,NGIQ-BR-00000056,IFG_R_6_6,40,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000315,"Right Inferior Frontal Gyrus, Pars Opercularis",APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000057,NGIQ-BR-00000057,OrG_L_6_1,41,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000058,NGIQ-BR-00000058,OrG_R_6_1,42,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000311,Right Medial Orbitofrontal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000061,NGIQ-BR-00000061,OrG_L_6_3,45,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000062,NGIQ-BR-00000062,OrG_R_6_3,46,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000309,Right Lateral Orbitofrontal Cortex,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000065,NGIQ-BR-00000065,OrG_L_6_5,49,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000066,NGIQ-BR-00000066,OrG_R_6_5,50,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000311,Right Medial Orbitofrontal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000069,NGIQ-BR-00000069,PrG_L_6_1,53,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000290,Left Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000070,NGIQ-BR-00000070,PrG_R_6_1,54,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000321,Right Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000071,NGIQ-BR-00000071,PrG_L_6_2,55,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000290,Left Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000072,NGIQ-BR-00000072,PrG_R_6_2,56,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000321,Right Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000073,NGIQ-BR-00000073,PrG_L_6_3,57,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000290,Left Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000074,NGIQ-BR-00000074,PrG_R_6_3,58,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000321,Right Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000075,NGIQ-BR-00000075,PrG_L_6_4,59,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000290,Left Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
