code,comp,hemisphere,target_nz_voxels,target_volume_mm3,target_centroid_x,target_centroid_y,target_centroid_z,target_bbox_xmin,target_bbox_xmax,target_cc,target_wrong_side_mass_fraction,tool,tool_version,interpolation,transform_sha256,source_space,target_space,route_transform_status,manifest_correct_side_mass_fraction,volume_relative_change
Tha_L_8_1,231,left,15252,1990.985,-9.182,-14.698,4.779,-29.0,0.0,1,0.0,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.999731,0.0944
Tha_L_8_2,233,left,10256,1411.379,-18.102,-14.732,4.273,-29.0,-1.0,1,0.0,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,1.0,0.0631
Tha_L_8_3,235,left,11942,1501.892,-17.052,-20.667,4.402,-29.0,0.0,2,0.0,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.999962,0.0349
Tha_L_8_4,237,left,12996,2065.892,-8.298,-15.89,7.54,-29.0,0.0,4,0.0,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.986063,0.087
Tha_R_8_1,232,right,10933,1802.728,7.63,-13.244,5.565,-3.0,28.0,1,0.000334,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.99881,0.0875
Tha_R_8_2,234,right,10500,1805.201,12.77,-14.561,2.329,-3.0,28.0,6,0.000162,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.999453,0.0588
Tha_R_8_3,236,right,11144,1314.072,16.035,-19.985,4.054,-3.0,27.0,1,0.000281,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.999346,0.0367
Tha_R_8_4,238,right,10685,1665.543,4.616,-15.026,6.341,-3.0,28.0,4,0.094757,SimpleITK,2.5.6,Linear,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,PASS,0.780397,0.051
