code,comp,hemisphere,raw_nz_voxels,raw_percent_sum,raw_physical_volume_mm3,raw_centroid_x,raw_centroid_y,raw_centroid_z,raw_bbox_xmin,raw_bbox_xmax,raw_cc,raw_wrong_side_mass_fraction
Tha_L_8_1,231,left,5131,93141.273,1819.165,-8.443,-15.129,4.602,-27.5,0.0,17,0.0
Tha_L_8_2,233,left,3230,67974.367,1327.624,-17.285,-14.913,4.208,-27.5,-1.25,16,0.0
Tha_L_8_3,235,left,4109,74302.853,1451.228,-16.262,-20.726,4.184,-27.5,0.0,11,0.0
Tha_L_8_4,237,left,3534,97306.922,1900.526,-7.784,-16.393,7.193,-27.5,0.0,54,0.0
Tha_R_8_1,232,right,3537,84875.559,1657.726,8.039,-13.679,5.428,-1.25,27.5,22,0.000118
Tha_R_8_2,234,right,3308,87290.525,1704.893,13.069,-14.795,2.383,-1.25,27.5,35,0.000115
Tha_R_8_3,236,right,3496,64896.144,1267.503,16.279,-20.148,3.998,-1.25,26.25,22,0.000154
Tha_R_8_4,238,right,3125,81139.185,1584.75,5.112,-15.41,6.032,-1.25,27.5,30,0.026285
