geometry,g1_region_id,canonical_name,probability_min,probability_max,nonzero_voxels,probability_mass,weighted_volume_mm3,centroid_x,centroid_y,centroid_z,bbox,output_sha256
BILATERAL_SOURCE,,Nucleus Accumbens (bilateral CIT168 ch2),7.563260595588872e-08,1.0,3502,1025.1058488851454,1025.1058488851454,-0.3517113922868373,8.584939240306776,-9.930964999635444,"[-21.0, 21.0, 4.0, 16.0, -17.0, 3.0]",7a91c36701f36d9d908479b862e65a879d15f54badcec6878e61d857ab570f66
LEFT,NGIQ-BR-00000254,Left Nucleus Accumbens,1.1704671578627313e-06,1.0,1511,513.003293290428,513.003293290428,-10.178627801530096,8.146605339930202,-10.123158960865887,"[-21.0, -2.0, 4.0, 14.0, -17.0, 3.0]",d58ff33f5b851dd0c0407b0deba3f1a73c62ad88478858c646b69a4460345efe
RIGHT,NGIQ-BR-00000262,Right Nucleus Accumbens,7.563260595588872e-08,1.0,1991,512.1025555947172,512.1025555947172,9.492489590028168,9.024044126617836,-9.73843298825494,"[1.0, 21.0, 4.0, 16.0, -17.0, 3.0]",7050f825a78f1e6c606b9cb42b76340eb7b3762f48bda3ee714ea6da02af94fb
DET_NAC_bilateral,,det QC only,1.0,1.0,1179,1179.0,1179.0,-0.17472434266327397,8.469041560644614,-10.142493638676845,"[-17.0, 16.0, 5.0, 13.0, -16.0, -4.0]",0072d6ea3c05d1e798743e7d1f732fbc9c50ee6969bc5e68c6bdba3472d26242
