parcel_id,atlas,version,geometry_source,raw_sha256,transform_sha256,derived_sha256,native_space,current_space,discrete,probabilistic,grid_ready,provenance_complete,voxel_count,hemisphere
11,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,5921,left
12,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,7818,right
13,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,9381,left
14,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,8267,right
15,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,8598,left
16,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,9074,right
17,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,6783,left
18,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,5257,right
19,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,7535,left
20,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,8918,right
21,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,8924,left
22,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,8742,right
23,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,7612,left
