scope,method,min,p001,p01,p05,median,p95,p99,max,negative_fraction,nonpositive_fraction,finite,n
full_field,A_ANTs_official,0.14194320142269135,0.19531807363033296,0.4433786809444427,0.6835001111030579,1.0,1.2209985256195068,1.6137495517730716,3.6377992630004883,0.0,0.0,True,8530021
fixed_brain_mask,A_ANTs_official,0.14194320142269135,0.1655581559240818,0.2353778263926506,0.4695464462041855,0.874474287033081,1.530333137512207,2.047928109169006,3.6377992630004883,0.0,0.0,True,1960755
fixed_brain_mask_sampled,B_application_fd,0.31758448481559753,0.34680286049842834,0.44746479392051697,0.5925407409667969,1.0548334121704102,1.7859652042388916,2.5478732585906982,7.389383792877197,0.0,0.0,True,6000
