geometry_id,canonical_region_id,hemisphere,p_min,p_max,p_mean,sum_probability_mass,weighted_volume_mm3,support_voxels,centroid_mm,native_weighted_volume_mm3,relative_volume_change,support_change,frac_p_lt_neg_tol,frac_p_gt_1_tol,contralateral_prob_fraction,output_sha256
GEO-G1-THAL-L-MNI2009CASYM-V1,NGIQ-BR-00000247,left,0.0,1.0000001192092896,0.0010645291190078381,9080.455740248359,9080.455740248359,16822,"[-11.241, -18.908, 6.039]",9080.70307122063,-0.0,0.1248,0.0,0.0,0.000241,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87
GEO-G1-THAL-R-MNI2009CASYM-V1,NGIQ-BR-00000256,right,0.0,1.0000001192092896,0.0010645425960892564,9080.570700035876,9080.570700035876,16873,"[11.742, -18.908, 6.038]",9080.703071220632,-0.0,0.1252,0.0,0.0,1.5e-05,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b
