side,geometry_id,included_channel_count,excluded_channel_count,probability_min,probability_max,sum_probability_mass,voxel_volume_mm3,weighted_volume_mm3,nonzero_support_voxels,centroid_x_mm,centroid_y_mm,centroid_z_mm,laterality_source,laterality_expected,reticular_excluded_mass,all26_mass,all26_minus_g1_plus_r_max_abs_residual,output_sha256
left,GEO-G1-THAL-L-FS2009CSYM-V1,25,1,0.0,1.0000000887121132,72645.62485183321,0.125,9080.703106479152,134809,-11.24019372013143,-18.908388772486518,6.038820542398757,SOURCE_NATIVE_CHANNEL_IDENTITY,x<0,4073.3648943872477,76718.98974622042,0.0,2c9d3d2d7823a02749c77a7084339d503fcb251b5db53b7791e2f008b43f2ba8
right,GEO-G1-THAL-R-FS2009CSYM-V1,25,1,0.0,1.0000000887121132,72645.62485183321,0.125,9080.703106479152,134809,11.740193720131431,-18.908388772486525,6.038820542398761,SOURCE_NATIVE_CHANNEL_IDENTITY,x>0,4073.3648943872477,76718.98974622047,0.0,e9e93d593ddc073431d3e8d2da3e1d16e89e05ec213f9e24d6659caa9c926ae2
