source_id,source_name,v3_classification,candidate_g1_id,candidate_g1_name,spatial_evidence_level,total_overlap_mass,g3_mass_with_valid_g1_mapping,g3_mass_with_frozen_noncontained_g1,g3_mass_with_ambiguous_g1_mapping,g3_mass_without_any_g1_mapping,candidate_g1_mass,other_g1_mass,mapped_mass_fraction,unmapped_mass_fraction,ambiguous_mass_fraction,candidate_fraction_of_total,candidate_fraction_of_mapped,normalization_flag
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,LIKELY_CONTAINED_NEEDS_SPATIAL_REVIEW,NGIQ-BR-00000265,Right Basal Forebrain,TWO_HOP_G4_G3_G1_PROXY,622.704,561.870,60.834,0.000,0.000,0.000,561.870,0.902,0.000,0.000,0.000,0,NON_NORMALIZED_OVERLAP_METRIC
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,LIKELY_CONTAINED_NEEDS_SPATIAL_REVIEW,NGIQ-BR-00000264,Left Basal Forebrain,TWO_HOP_G4_G3_G1_PROXY,622.704,561.870,60.834,0.000,0.000,0.000,561.870,0.902,0.000,0.000,0.000,0,NON_NORMALIZED_OVERLAP_METRIC
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",LIKELY_CONTAINED_NEEDS_SPATIAL_REVIEW,NGIQ-BR-00000265,Right Basal Forebrain,TWO_HOP_G4_G3_G1_PROXY,99.569,99.562,0.008,0.000,0.000,0.000,99.562,1.000,0.000,0.000,0.000,0,NON_NORMALIZED_OVERLAP_METRIC
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",LIKELY_CONTAINED_NEEDS_SPATIAL_REVIEW,NGIQ-BR-00000264,Left Basal Forebrain,TWO_HOP_G4_G3_G1_PROXY,99.569,99.562,0.008,0.000,0.000,0.000,99.562,1.000,0.000,0.000,0.000,0,NON_NORMALIZED_OVERLAP_METRIC
NGIQ-BR-00000345,Ch 123 (Basal Forebrain) right,LIKELY_CONTAINED_NEEDS_SPATIAL_REVIEW,NGIQ-BR-00000265,Right Basal Forebrain,TWO_HOP_G4_G3_G1_PROXY,261.236,161.399,99.767,0.070,0.000,0.000,161.399,0.618,0.000,0.000,0.000,0,NON_NORMALIZED_OVERLAP_METRIC
NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,LIKELY_CONTAINED_NEEDS_SPATIAL_REVIEW,NGIQ-BR-00000264,Left Basal Forebrain,TWO_HOP_G4_G3_G1_PROXY,261.236,161.399,99.767,0.070,0.000,0.000,161.399,0.618,0.000,0.000,0.000,0,NON_NORMALIZED_OVERLAP_METRIC
