name,n_support,value_min,value_max,mass,weighted_volume_mm3,hemisphere
SUM,144398,8.077813418161384e-10,1.0000000887121132,76718.98974622045,9589.873718277559,Left
MAX,144398,8.077813418161384e-10,1.0,56825.87156797634,7103.233945997044,Left
PROBABILISTIC_UNION,144398,8.077813973272896e-10,1.0,64925.268607999766,8115.6585759999725,Left
CLIPPED_SUM,144398,8.077813418161384e-10,1.0,76718.98926394152,9589.873657992692,Left
SUM,144398,8.077813418161384e-10,1.0000000887121132,76718.98974622044,9589.873718277557,Right
MAX,144398,8.077813418161384e-10,1.0,56825.87156797633,7103.2339459970435,Right
PROBABILISTIC_UNION,144398,8.077813973272896e-10,1.0,64925.268607999766,8115.6585759999725,Right
CLIPPED_SUM,144398,8.077813418161384e-10,1.0,76718.9892639415,9589.87365799269,Right
