canonical_g4_id,canonical_name,hemisphere,source_region_pk,spatial_component_id,scientific_decision,decision_reason_code,candidate_allowed,evidence_reference,provenance_reference
NGIQ-BR-00000698,"Ninterp (Cerebellum, Interposed Nucleus) left",left,1927,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000699,"Ndentv (Cerebellum, Ventral Dentate Nucleus) right",right,1930,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NDENTV_CEREBELLUM_VENTRAL_DENTATE_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000700,"Ndentv (Cerebellum, Ventral Dentate Nucleus) left",left,1933,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NDENTV_CEREBELLUM_VENTRAL_DENTATE_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000701,"Ndentd (Cerebellum, Dorsal Dentate Nucleus) right",right,1936,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NDENTD_CEREBELLUM_DORSAL_DENTATE_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000702,"Ndentd (Cerebellum, Dorsal Dentate Nucleus) left",left,1939,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NDENTD_CEREBELLUM_DORSAL_DENTATE_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000703,"Nfast (Cerebellum, Fastigial Nucleus) right",right,1942,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000704,"Nfast (Cerebellum, Fastigial Nucleus) left",left,1945,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS,NO_G3_MAPPING,ZERO_BNA_SPATIAL_ASSOCIATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000705,STN (Subthalamus) right,right,1948,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_STN_SUBTHALAMUS,NO_G3_MAPPING,BNA_COVERAGE_GAP,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000706,STN (Subthalamus) left,left,1951,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_STN_SUBTHALAMUS,NO_G3_MAPPING,BNA_COVERAGE_GAP,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
NGIQ-BR-00000707,"Rt (Thalamus, reticular Nucleus) right",right,1954,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_RT_THALAMUS_RETICULAR_NUCLEUS,CONFLICT_REVIEW,HIGH_FRAGMENTATION,FALSE,g4_g3_final_scientific_decisions.csv,g4_g3_final_scientific_exclusions.csv
