rank_key,row,julich_component_id,julich_asset_file,julich_region_name,julich_hemisphere,rank,g3_component_index,canonical_g3_id,g3_region_name,g3_hemisphere,joint_weighted_mass,g4_mass_weighted_g3_probability,g3_mass_weighted_g4_probability,probability_cosine,soft_dice,hemisphere_relation
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,2,220,NGIQ-BR-00000221,BG_R_6_1,right,38.52882586871165,0.10117263790945401,0.011135699601387463,0.09030208604443116,0.05589892431642955,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,3,50,NGIQ-BR-00000066,OrG_R_6_5,right,29.30516461639872,0.07695227512810249,0.0037408814154689485,0.039174883669292726,0.014910951650114338,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,4,226,NGIQ-BR-00000227,BG_R_6_4,right,9.573725264041089,0.025139593998632526,0.003391756854859777,0.02749854733916619,0.019794761371613435,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,5,230,NGIQ-BR-00000231,BG_R_6_6,right,4.409773731928597,0.011579601272130648,0.0014591694104241096,0.010717003720168117,0.006823910998712138,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,6,42,NGIQ-BR-00000058,OrG_R_6_1,right,3.5893979098594846,0.009425380785923957,0.000589731641990268,0.004837083252221034,0.0018548732421561516,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,7,48,NGIQ-BR-00000064,OrG_R_6_4,right,2.02363393719276,0.005313849539213379,0.0003105376826535024,0.002987171065731305,0.0012452363131653058,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,8,228,NGIQ-BR-00000229,BG_R_6_5,right,1.3616341675888681,0.0035755078826443325,0.0002686335363625761,0.0019998108145481666,0.0008298129311815995,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,9,46,NGIQ-BR-00000062,OrG_R_6_3,right,0.6276176759545091,0.001648057900629762,6.862605398930514e-05,0.000686064673778945,0.00021623131958287408,same
joint_mass,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,10,44,NGIQ-BR-00000060,OrG_R_6_2,right,0.08869950891057331,0.00023291556634336388,1.5779711887977708e-05,0.00016108412021700923,8.072585360495419e-05,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,1,224,NGIQ-BR-00000225,BG_R_6_3,right,293.43511423301027,0.7705296980338097,0.10068835349428493,0.5888881139403642,0.3213389467867494,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,2,220,NGIQ-BR-00000221,BG_R_6_1,right,38.52882586871165,0.10117263790945401,0.011135699601387463,0.09030208604443116,0.05589892431642955,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,3,50,NGIQ-BR-00000066,OrG_R_6_5,right,29.30516461639872,0.07695227512810249,0.0037408814154689485,0.039174883669292726,0.014910951650114338,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,4,226,NGIQ-BR-00000227,BG_R_6_4,right,9.573725264041089,0.025139593998632526,0.003391756854859777,0.02749854733916619,0.019794761371613435,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,5,230,NGIQ-BR-00000231,BG_R_6_6,right,4.409773731928597,0.011579601272130648,0.0014591694104241096,0.010717003720168117,0.006823910998712138,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,6,42,NGIQ-BR-00000058,OrG_R_6_1,right,3.5893979098594846,0.009425380785923957,0.000589731641990268,0.004837083252221034,0.0018548732421561516,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,7,48,NGIQ-BR-00000064,OrG_R_6_4,right,2.02363393719276,0.005313849539213379,0.0003105376826535024,0.002987171065731305,0.0012452363131653058,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,8,228,NGIQ-BR-00000229,BG_R_6_5,right,1.3616341675888681,0.0035755078826443325,0.0002686335363625761,0.0019998108145481666,0.0008298129311815995,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,9,46,NGIQ-BR-00000062,OrG_R_6_3,right,0.6276176759545091,0.001648057900629762,6.862605398930514e-05,0.000686064673778945,0.00021623131958287408,same
g4_weighted,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS,ACBL_VENTRAL_STRIATUM_LATERAL_ACCUMBENS_RIGHT.nii.gz,"AcbL (Ventral Striatum, Lateral Accumbens) right",right,10,44,NGIQ-BR-00000060,OrG_R_6_2,right,0.08869950891057331,0.00023291556634336388,1.5779711887977708e-05,0.00016108412021700923,8.072585360495419e-05,same
