hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_label_name,dk_label_id,dk_vertex_count,intersection_vertex_count,source_coverage_ratio,target_coverage_ratio,g1_entity_id,g1_name_en,g1_alignment_status,is_no_g1_target
left,NGIQ-BR-00000041,23,MFG_L_7_5,ventrolateral area 8,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1581,caudalmiddlefrontal,3,0,1016,0.642631,0,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000041,23,MFG_L_7_5,ventrolateral area 8,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1581,rostralmiddlefrontal,27,0,554,0.350411,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000041,23,MFG_L_7_5,ventrolateral area 8,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1581,superiorfrontal,28,0,11,0.006958,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000043,25,MFG_L_7_6,ventrolateral area 6,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1256,caudalmiddlefrontal,3,0,1211,0.964172,0,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000043,25,MFG_L_7_6,ventrolateral area 6,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1256,precentral,24,0,8,0.006369,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000043,25,MFG_L_7_6,ventrolateral area 6,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1256,superiorfrontal,28,0,37,0.029459,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000045,27,MFG_L_7_7,lateral area 10,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1303,lateralorbitofrontal,12,0,21,0.016117,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000045,27,MFG_L_7_7,lateral area 10,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1303,parsorbitalis,19,0,23,0.017652,0,NGIQ-BR-00000285,"Left Inferior Frontal Gyrus, Pars Orbitalis",ALIGNED,false
left,NGIQ-BR-00000045,27,MFG_L_7_7,lateral area 10,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1303,rostralmiddlefrontal,27,0,1215,0.932464,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000045,27,MFG_L_7_7,lateral area 10,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1303,superiorfrontal,28,0,41,0.031466,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000045,27,MFG_L_7_7,lateral area 10,MFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1303,frontalpole,32,0,3,0.002302,0,,,NO_G1_TARGET,true
left,NGIQ-BR-00000003,29,IFG_L_6_1,dorsal area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,765,caudalmiddlefrontal,3,0,25,0.03268,0,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000003,29,IFG_L_6_1,dorsal area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,765,parsopercularis,18,0,740,0.96732,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
left,NGIQ-BR-00000047,31,IFG_L_6_2,inferior frontal sulcus,IFG,composite,COMPOSITE_SEED_PENDING,NO_G1_ROLLUP,705,parsopercularis,18,0,324,0.459574,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
left,NGIQ-BR-00000047,31,IFG_L_6_2,inferior frontal sulcus,IFG,composite,COMPOSITE_SEED_PENDING,NO_G1_ROLLUP,705,parstriangularis,20,0,256,0.363121,0,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",ALIGNED,false
left,NGIQ-BR-00000047,31,IFG_L_6_2,inferior frontal sulcus,IFG,composite,COMPOSITE_SEED_PENDING,NO_G1_ROLLUP,705,rostralmiddlefrontal,27,0,125,0.177305,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000049,33,IFG_L_6_3,caudal area 45,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,658,parsopercularis,18,0,451,0.68541,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
left,NGIQ-BR-00000049,33,IFG_L_6_3,caudal area 45,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,658,parstriangularis,20,0,207,0.31459,0,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",ALIGNED,false
left,NGIQ-BR-00000051,35,IFG_L_6_4,rostral area 45,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,661,parstriangularis,20,0,612,0.92587,0,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",ALIGNED,false
left,NGIQ-BR-00000051,35,IFG_L_6_4,rostral area 45,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,661,rostralmiddlefrontal,27,0,49,0.07413,0,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,ALIGNED,false
left,NGIQ-BR-00000053,37,IFG_L_6_5,opercular area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1437,lateralorbitofrontal,12,0,9,0.006263,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000053,37,IFG_L_6_5,opercular area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1437,parsopercularis,18,0,574,0.399443,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
left,NGIQ-BR-00000053,37,IFG_L_6_5,opercular area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1437,parstriangularis,20,0,839,0.583855,0,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",ALIGNED,false
left,NGIQ-BR-00000053,37,IFG_L_6_5,opercular area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1437,insula,35,0,15,0.010438,0,NGIQ-BR-00000299,Left Insula,ALIGNED,false
left,NGIQ-BR-00000055,39,IFG_L_6_6,ventral area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,649,parsopercularis,18,0,644,0.992296,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
