canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status,mapping_candidate_allowed
NGIQ-BR-00000357,LB.Bl (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000358,LB.Bm (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000359,LB.Pl (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000360,LB.La (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.47080758,340.58621151,NGIQ-BR-00000017,0.32168084,0.30202864,0.0196522,0.92483303,0.07516697,3.4628,FALSE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000361,SF.AHi (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.58703699,497.81077275,NGIQ-BR-00000216,0.60122441,0.16810792,0.43311649,0.85152456,0.14847544,2.5227,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000362,SF.APir (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.58703699,497.81077275,NGIQ-BR-00000216,0.60122441,0.16810792,0.43311649,0.85152456,0.14847544,2.5227,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000363,SF.VCo (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.58703699,497.81077275,NGIQ-BR-00000216,0.60122441,0.16810792,0.43311649,0.85152456,0.14847544,2.5227,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000364,SF.AHi (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.54228576,304.26643731,NGIQ-BR-00000215,0.47511073,0.3385727,0.13653802,0.89587853,0.10412147,2.8226,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000365,SF.APir (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.54228576,304.26643731,NGIQ-BR-00000215,0.47511073,0.3385727,0.13653802,0.89587853,0.10412147,2.8226,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
NGIQ-BR-00000366,SF.VCo (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.54228576,304.26643731,NGIQ-BR-00000215,0.47511073,0.3385727,0.13653802,0.89587853,0.10412147,2.8226,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW,FALSE
