g3_entity_id,g3_name_en,g3_name_zh,g3_source_name,g3_hemisphere,derived_anatomical_family,derivation_basis,g1_candidate_entity_id,g1_candidate_name_en,g1_candidate_name_zh,g1_hemisphere,candidate_relation,candidate_method,confidence_class,candidate_count,decision,review_reason
NGIQ-BR-00000051,"Left Inferior frontal gyrus, Brainnetome 6_4",左侧额下回（Brainnetome 6-4）,IFG_L_6_4,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000053,"Left Inferior frontal gyrus, Brainnetome 6_5",左侧额下回（Brainnetome 6-5）,IFG_L_6_5,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000055,"Left Inferior frontal gyrus, Brainnetome 6_6",左侧额下回（Brainnetome 6-6）,IFG_L_6_6,left,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Left Inferior Frontal Gyrus, Pars Opercularis; Left Inferior Frontal Gyrus, Pars Orbitalis; Left Inferior Frontal Gyrus, Pars Triangularis",,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000015,"Left Medioventral occipital cortex, Brainnetome 5_1",左侧腹内侧枕叶皮层（Brainnetome 5-1）,Cun_L_5_1,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000195,"Left Medioventral occipital cortex, Brainnetome 5_2",左侧腹内侧枕叶皮层（Brainnetome 5-2）,Cun_L_5_2,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000197,"Left Medioventral occipital cortex, Brainnetome 5_3",左侧腹内侧枕叶皮层（Brainnetome 5-3）,Cun_L_5_3,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000199,"Left Medioventral occipital cortex, Brainnetome 5_4",左侧腹内侧枕叶皮层（Brainnetome 5-4）,Cun_L_5_4,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000201,"Left Medioventral occipital cortex, Brainnetome 5_5",左侧腹内侧枕叶皮层（Brainnetome 5-5）,Cun_L_5_5,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000033,"Left Middle frontal gyrus, Brainnetome 7_1",左侧额中回（Brainnetome 7-1）,MFG_L_7_1,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000035,"Left Middle frontal gyrus, Brainnetome 7_2",左侧额中回（Brainnetome 7-2）,MFG_L_7_2,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
