canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,CH_4_BASAL_FOREBRAIN_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000218,Amyg_R_2_2,0.13044418,28.73434001,NGIQ-BR-00000225,0.20614924,0.11364418,0.09250506,0.37819518,0.62180482,3.1083,FALSE,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_4_BASAL_FOREBRAIN,CH_4_BASAL_FOREBRAIN_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000224,BG_L_6_3,0.21166366,136.36247928,NGIQ-BR-00000224,0.37380389,0.08233364,0.29147025,0.75832296,0.24167704,5.2942,TRUE,CONFLICT_REVIEW,HIGH_FRAGMENTATION,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,BST_BASAL_FOREBRAIN_BED_NUCLEUS_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000221,BG_R_6_1,0.10765795,14.89120987,NGIQ-BR-00000221,0.13266221,0.07325061,0.0594116,0.29714774,0.70285226,4.35,TRUE,CONFLICT_REVIEW,HIGH_FRAGMENTATION,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_BST_BASAL_FOREBRAIN_BED_NUCLEUS,BST_BASAL_FOREBRAIN_BED_NUCLEUS_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000237,Tha_L_8_4,0.09702797,13.74784315,NGIQ-BR-00000237,0.07775502,0.06439209,0.01336293,0.21120271,0.78879729,3.8717,TRUE,CONFLICT_REVIEW,HIGH_FRAGMENTATION,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000345,Ch 123 (Basal Forebrain) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,CH_123_BASAL_FOREBRAIN_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000225,BG_R_6_3,0.41708764,118.14839447,NGIQ-BR-00000225,0.55092187,0.08539908,0.46552279,0.64115671,0.35884329,1.5477,TRUE,CONFLICT_REVIEW,LOW_DOMINANCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN,CH_123_BASAL_FOREBRAIN_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000065,OrG_L_6_5,0.2208705,45.05661368,NGIQ-BR-00000065,0.22726568,0.10005733,0.12720834,0.33530758,0.66469242,2.0418,TRUE,CONFLICT_REVIEW,DIFFUSE_ASSOCIATION,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000347,CM.AAA (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.34809454,228.16939164,NGIQ-BR-00000216,0.29214318,0.17898563,0.11315756,0.62431317,0.37568683,3.8436,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000348,CM.Ce (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.34809454,228.16939164,NGIQ-BR-00000216,0.29214318,0.17898563,0.11315756,0.62431317,0.37568683,3.8436,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000349,CM.Me (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.34809454,228.16939164,NGIQ-BR-00000216,0.29214318,0.17898563,0.11315756,0.62431317,0.37568683,3.8436,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000350,CM.AAA (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.31456286,172.82613108,NGIQ-BR-00000215,0.22233381,0.17669132,0.04564249,0.76570915,0.23429085,5.4924,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
