pair_id,family,modified_name,seed_dk_constituents,left_parcel_id,left_g3,left_authority,left_top1_dk,left_top1_g1,left_top1_cov,left_top2_dk,left_top2_cov,left_margin,left_non_g1,left_n_dk,right_parcel_id,right_g3,right_authority,right_top1_dk,right_top1_g1,right_top1_cov,right_top2_dk,right_top2_cov,right_margin,right_non_g1,right_n_dk,bilateral_status,review_tags,special_case
CG_7_5,CG,caudodorsal area 24,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,183,NGIQ-BR-00000189,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,Left Caudal Anterior Cingulate Cortex,0.454209,posteriorcingulate,0.296022,0.158187,0.0,3,184,NGIQ-BR-00000190,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,Right Caudal Anterior Cingulate Cortex,0.489766,posteriorcingulate,0.428363,0.061404,0.0,3,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
CG_7_6,CG,caudal area 24,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,185,NGIQ-BR-00000191,PENDING_HUMAN_REVIEW,posteriorcingulate,Left Posterior Cingulate Cortex,0.702128,paracentral,0.215426,0.486702,0.0,4,186,NGIQ-BR-00000192,PENDING_HUMAN_REVIEW,posteriorcingulate,Right Posterior Cingulate Cortex,0.890982,paracentral,0.082763,0.808219,0.0,4,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
CG_7_7,CG,subgenual area 32,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,187,NGIQ-BR-00000193,PENDING_HUMAN_REVIEW,rostralanteriorcingulate,Left Rostral Anterior Cingulate Cortex,0.936685,medialorbitofrontal,0.039106,0.897579,0.0,3,188,NGIQ-BR-00000194,PENDING_HUMAN_REVIEW,rostralanteriorcingulate,Right Rostral Anterior Cingulate Cortex,0.900935,superiorfrontal,0.06729,0.833645,0.0,4,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
MVOcC_5_1,MVOcC,caudal lingual gyrus,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,189,NGIQ-BR-00000015,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Left Lingual Gyrus,0.981308,lateraloccipital,0.018692,0.962617,0.0,2,190,NGIQ-BR-00000016,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Right Lingual Gyrus,0.790174,pericalcarine,0.155578,0.634596,0.0,3,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
MVOcC_5_2,MVOcC,rostral cuneus gyrus,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,191,NGIQ-BR-00000195,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,Left Pericalcarine Cortex,0.415708,lingual,0.293839,0.121869,0.0,3,192,NGIQ-BR-00000196,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,Right Pericalcarine Cortex,0.44259,lingual,0.307744,0.134846,0.0,3,SAME_TOP1_TARGET,AUTHORITY_SURFACE_DISCORDANCE;BOUNDARY_LIKE,no
MVOcC_5_3,MVOcC,caudal cuneus gyrus,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,193,NGIQ-BR-00000197,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,Left Pericalcarine Cortex,0.477893,cuneus,0.280339,0.197554,0.0,5,194,NGIQ-BR-00000198,HUMAN_AUTHORITY_APPROVED_CANDIDATE,cuneus,Right Cuneus,0.560852,pericalcarine,0.391481,0.169371,0.0,4,DIFFERENT_TOP1_TARGET,AUTHORITY_SURFACE_DISCORDANCE;BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,no
MVOcC_5_4,MVOcC,rostral lingual gyrus,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,195,NGIQ-BR-00000199,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Left Lingual Gyrus,0.979464,fusiform,0.010268,0.969196,0.0,3,196,NGIQ-BR-00000200,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Right Lingual Gyrus,0.923177,parahippocampal,0.048177,0.875,0.0,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
MVOcC_5_5,MVOcC,ventromedial parietooccipital sulcus,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,197,NGIQ-BR-00000201,NO_G1_ROLLUP,lingual,Left Lingual Gyrus,0.379668,cuneus,0.265906,0.113762,0.0,5,198,NGIQ-BR-00000202,NO_G1_ROLLUP,lingual,Right Lingual Gyrus,0.47494,cuneus,0.232697,0.242243,0.0,6,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
IFG_6_2,NO_G1_ROLLUP,inferior frontal sulcus,,31,NGIQ-BR-00000047,NO_G1_ROLLUP,parsopercularis,"Left Inferior Frontal Gyrus, Pars Opercularis",0.459574,parstriangularis,0.363121,0.096454,0.0,3,32,NGIQ-BR-00000048,NO_G1_ROLLUP,parstriangularis,"Right Inferior Frontal Gyrus, Pars Triangularis",0.726351,rostralmiddlefrontal,0.165541,0.560811,0.0,3,DIFFERENT_TOP1_TARGET,BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,yes
LOcC_2_1,sOcG/LOcC,medial superior occipital gyrus,Lateral Occipital Gyrus,207,NGIQ-BR-00000211,SEED_CONTAINMENT_CONFIRMED,superiorparietal,Left Superior Parietal Lobule,0.844081,cuneus,0.079885,0.764196,0.0,3,208,NGIQ-BR-00000212,SEED_CONTAINMENT_CONFIRMED,superiorparietal,Right Superior Parietal Lobule,0.831426,lateraloccipital,0.121281,0.710145,0.0,4,SAME_TOP1_TARGET,MID_SPATIAL_CONCORDANCE,yes
LOcC_2_2,sOcG/LOcC,lateral superior occipital gyrus,Lateral Occipital Gyrus,209,NGIQ-BR-00000213,SEED_CONTAINMENT_CONFIRMED,superiorparietal,Left Superior Parietal Lobule,0.991187,inferiorparietal,0.008813,0.982374,0.0,2,210,NGIQ-BR-00000214,SEED_CONTAINMENT_CONFIRMED,superiorparietal,Right Superior Parietal Lobule,0.943599,inferiorparietal,0.051965,0.891635,0.0,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,yes
MVOcC_5_1,MVOcC-approved,caudal lingual gyrus,,189,NGIQ-BR-00000015,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Left Lingual Gyrus,0.981308,lateraloccipital,0.018692,0.962617,0.0,2,190,NGIQ-BR-00000016,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Right Lingual Gyrus,0.790174,pericalcarine,0.155578,0.634596,0.0,3,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,yes
MVOcC_5_2,MVOcC-approved,rostral cuneus gyrus,,191,NGIQ-BR-00000195,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,Left Pericalcarine Cortex,0.415708,lingual,0.293839,0.121869,0.0,3,192,NGIQ-BR-00000196,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,Right Pericalcarine Cortex,0.44259,lingual,0.307744,0.134846,0.0,3,SAME_TOP1_TARGET,AUTHORITY_SURFACE_DISCORDANCE;BOUNDARY_LIKE,yes
MVOcC_5_3,MVOcC-approved,caudal cuneus gyrus,,193,NGIQ-BR-00000197,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,Left Pericalcarine Cortex,0.477893,cuneus,0.280339,0.197554,0.0,5,194,NGIQ-BR-00000198,HUMAN_AUTHORITY_APPROVED_CANDIDATE,cuneus,Right Cuneus,0.560852,pericalcarine,0.391481,0.169371,0.0,4,DIFFERENT_TOP1_TARGET,AUTHORITY_SURFACE_DISCORDANCE;BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE,yes
MVOcC_5_4,MVOcC-approved,rostral lingual gyrus,,195,NGIQ-BR-00000199,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Left Lingual Gyrus,0.979464,fusiform,0.010268,0.969196,0.0,3,196,NGIQ-BR-00000200,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,Right Lingual Gyrus,0.923177,parahippocampal,0.048177,0.875,0.0,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,yes
MVOcC_5_5,NO_G1_ROLLUP,ventromedial parietooccipital sulcus,,197,NGIQ-BR-00000201,NO_G1_ROLLUP,lingual,Left Lingual Gyrus,0.379668,cuneus,0.265906,0.113762,0.0,5,198,NGIQ-BR-00000202,NO_G1_ROLLUP,lingual,Right Lingual Gyrus,0.47494,cuneus,0.232697,0.242243,0.0,6,SAME_TOP1_TARGET,BOUNDARY_LIKE,yes
pSTS_2_1,pSTS,rostroposterior superior temporal sulcus,Banks of STS,121,NGIQ-BR-00000133,NO_G1_ROLLUP,bankssts,Left Middle Temporal Gyrus,0.026728,middletemporal,0.026728,0.018433,0.964977,3,122,NGIQ-BR-00000134,NO_G1_ROLLUP,bankssts,Right Middle Temporal Gyrus,0.036585,middletemporal,0.036585,0.029726,0.956555,3,SAME_TOP1_TARGET,BOUNDARY_LIKE;NON_G1_COMPONENT_PRESENT,yes
pSTS_2_2,pSTS,caudoposterior superior temporal sulcus,Banks of STS,123,NGIQ-BR-00000135,NO_G1_ROLLUP,bankssts,Left Inferior Parietal Lobule,0.066318,inferiorparietal,0.066318,0.021815,0.842059,5,124,NGIQ-BR-00000136,NO_G1_ROLLUP,bankssts,Right Supramarginal Gyrus,0.047441,supramarginal,0.047441,0.037453,0.933833,4,DIFFERENT_TOP1_TARGET,BILATERAL_TARGET_DISAGREEMENT;BOUNDARY_LIKE;NON_G1_COMPONENT_PRESENT,yes
