component_index,parcel_id,official_name,official_code,canonical_g3_id,hemisphere,lut_name,lobe,macro_gyrus_name,source_asset,source_sha256,output_asset,output_sha256,source_space,target_space,transform_sha256,tool,tool_version,interpolation,source_scale,output_scale,source_nonzero_voxels,target_nonzero_voxels,source_probability_sum,target_probability_sum,probability_sum_ratio,support_volume_ratio,target_grid_match,hemisphere_check,finite_check,range_check,nonempty_check,cross_check,boundary_touch_fraction,correct_side_mass_fraction,transform_status
11,11,Superior frontal gyrus,SFG_L_7_6,NGIQ-BR-00000029,left,A9m_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp011_SFG_L_7_6_prob_2009c.nii.gz,6a53a376eca59e8dbfe99182c2a78b87897566ad623ebe2ba2d9f9ee0be84087,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,20098,59106,371656.0688,7968.3666,0.02144,2.94089,True,True,True,True,True,True,0.0,0.967982,PASS
12,12,Superior frontal gyrus,SFG_R_7_6,NGIQ-BR-00000030,right,A9m_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp012_SFG_R_7_6_prob_2009c.nii.gz,045ac333a1c75d673b4e0d95c003164d86f885dda837036dcab1e03cafa4119e,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,17966,53381,407431.2108,8508.6154,0.020884,2.971223,True,True,True,True,True,True,0.0,0.940658,PASS
13,13,Superior frontal gyrus,SFG_L_7_7,NGIQ-BR-00000031,left,A10m_L,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp013_SFG_L_7_7_prob_2009c.nii.gz,8082247b7ddf83d7b6fdd9021423d5d53dc6e25543a753a66c9f9580ed467b7f,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10310,31926,431829.7859,9444.0973,0.02187,3.096605,True,True,True,True,True,True,0.0,0.985088,PASS
14,14,Superior frontal gyrus,SFG_R_7_7,NGIQ-BR-00000032,right,A10m_R,Frontal lobe,Superior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp014_SFG_R_7_7_prob_2009c.nii.gz,e46ec675b6d9f6d9d78934160fb607a68c875ff0c5df8ef3007ef154aa311903,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,13644,41236,411272.6866,8669.9365,0.021081,3.022281,True,True,True,True,True,True,0.0,0.952648,PASS
15,15,Middle frontal gyrus,MFG_L_7_1,NGIQ-BR-00000033,left,A9/46d_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp015_MFG_L_7_1_prob_2009c.nii.gz,5b489de07003a6e63c80efde66c5ff52138c7839f5bff0cc3ea66292f80e43b3,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,18079,49647,421770.9402,8354.67,0.019809,2.746114,True,True,True,True,True,True,0.0,1.0,PASS
16,16,Middle frontal gyrus,MFG_R_7_1,NGIQ-BR-00000034,right,A9/46d_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp016_MFG_R_7_1_prob_2009c.nii.gz,ba32d5b2081b7702bad4addbba4de122675b10b62b9bf6676e237a83fdc2cbac,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,18328,53108,424444.2992,9224.1281,0.021732,2.897643,True,True,True,True,True,True,0.0,1.0,PASS
17,17,Middle frontal gyrus,MFG_L_7_2,NGIQ-BR-00000035,left,IFJ_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp017_MFG_L_7_2_prob_2009c.nii.gz,ae3b15e16ba0dd51a937bf15a559ac2dd6cff4bbb85081060fcc03af4ee3fc02,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,13125,36979,337034.3306,6807.7977,0.020199,2.817448,True,True,True,True,True,True,0.0,1.0,PASS
18,18,Middle frontal gyrus,MFG_R_7_2,NGIQ-BR-00000036,right,IFJ_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp018_MFG_R_7_2_prob_2009c.nii.gz,bda674655d2aa1013d5ffd67f7cc6382bf8febd4431d52e1602bcb21b700d07a,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11893,37819,316283.9099,6654.2952,0.021039,3.179938,True,True,True,True,True,True,0.0,1.0,PASS
19,19,Middle frontal gyrus,MFG_L_7_3,NGIQ-BR-00000037,left,A46_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp019_MFG_L_7_3_prob_2009c.nii.gz,c3dfe314e4c1f9d24387502dd5549f0f135584906ba3d3347b56dfbbcc1c84b5,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,22684,61981,413896.2497,8936.6802,0.021592,2.732366,True,True,True,True,True,True,0.0,1.0,PASS
20,20,Middle frontal gyrus,MFG_R_7_3,NGIQ-BR-00000038,right,A46_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp020_MFG_R_7_3_prob_2009c.nii.gz,2b3f558ab18d4cb3fc047edb94fce917adbefe9c98fea715aa1e2e3523f44097,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,16493,48579,442546.2009,9447.7885,0.021349,2.945431,True,True,True,True,True,True,0.0,1.0,PASS
