component_index,parcel_id,official_name,official_code,canonical_g3_id,hemisphere,lut_name,lobe,macro_gyrus_name,source_asset,source_sha256,output_asset,output_sha256,source_space,target_space,transform_sha256,tool,tool_version,interpolation,source_scale,output_scale,source_nonzero_voxels,target_nonzero_voxels,source_probability_sum,target_probability_sum,probability_sum_ratio,support_volume_ratio,target_grid_match,hemisphere_check,finite_check,range_check,nonempty_check,cross_check,boundary_touch_fraction,correct_side_mass_fraction,transform_status
31,31,Inferior frontal gyrus,IFG_L_6_2,NGIQ-BR-00000047,left,IFS_L,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp031_IFG_L_6_2_prob_2009c.nii.gz,8c6149905e857392f2254cbc4a6a4e59bb84d02c9340700194588f304281fe2d,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6279,19168,177105.9676,3641.0612,0.020559,3.052715,True,True,True,True,True,True,0.0,1.0,PASS
32,32,Inferior frontal gyrus,IFG_R_6_2,NGIQ-BR-00000048,right,IFS_R,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp032_IFG_R_6_2_prob_2009c.nii.gz,f42401a06d695672cb9f7da65fa46585bc21dd8b636fa57cb44fcfa1956faeee,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6124,19909,158133.5013,3662.2772,0.023159,3.25098,True,True,True,True,True,True,0.0,1.0,PASS
33,33,Inferior frontal gyrus,IFG_L_6_3,NGIQ-BR-00000049,left,A45c_L,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp033_IFG_L_6_3_prob_2009c.nii.gz,ddb15cb9595bd7a765c97fe29044f93a0151836023c9ddbca695910dfdfc60f2,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7405,22429,149069.6501,3090.0347,0.020729,3.028899,True,True,True,True,True,True,0.0,1.0,PASS
34,34,Inferior frontal gyrus,IFG_R_6_3,NGIQ-BR-00000050,right,A45c_R,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp034_IFG_R_6_3_prob_2009c.nii.gz,213a4255cb2f7e0c630a10f5f9b6ff22f3b8e31667ae54a7e1f32a4559d2812a,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7032,21886,153439.1907,3309.3199,0.021568,3.112344,True,True,True,True,True,True,0.0,1.0,PASS
35,35,Inferior frontal gyrus,IFG_L_6_4,NGIQ-BR-00000051,left,A45r_L,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp035_IFG_L_6_4_prob_2009c.nii.gz,e492dda469b2ba01fe04dceb41c582af000c7b00f311fcdaba8d66d1c3cfa04d,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6785,21005,165038.5307,3326.8993,0.020158,3.0958,True,True,True,True,True,True,0.0,1.0,PASS
36,36,Inferior frontal gyrus,IFG_R_6_4,NGIQ-BR-00000052,right,A45r_R,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp036_IFG_R_6_4_prob_2009c.nii.gz,c92d8540e965da66883c742f25dd7d53962c3e6cd08f2a36ecfc40d2f1c25102,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7690,23408,166275.4629,3715.9571,0.022348,3.043953,True,True,True,True,True,True,0.0,1.0,PASS
37,37,Inferior frontal gyrus,IFG_L_6_5,NGIQ-BR-00000053,left,A44op_L,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp037_IFG_L_6_5_prob_2009c.nii.gz,8ac91949cf4cf549a37c998ba0bf96eeee23d82c19ff7efc392e05cda5a32dea,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,5857,17150,224473.6152,4724.2863,0.021046,2.92812,True,True,True,True,True,True,0.0,1.0,PASS
38,38,Inferior frontal gyrus,IFG_R_6_5,NGIQ-BR-00000054,right,A44op_R,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp038_IFG_R_6_5_prob_2009c.nii.gz,69d067a79cf1777e529918d3cd3059df5b7dcf187f5c04d9d55f5d4cf40fb66d,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,5396,16468,245586.6556,5339.2492,0.021741,3.05189,True,True,True,True,True,True,0.0,1.0,PASS
39,39,Inferior frontal gyrus,IFG_L_6_6,NGIQ-BR-00000055,left,A44v_L,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp039_IFG_L_6_6_prob_2009c.nii.gz,a532186f0fa0a220708efcae150edb0c75e22a7edd45aa94d907927183a5e036,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6555,20381,143444.157,2905.3542,0.020254,3.10923,True,True,True,True,True,True,0.0,1.0,PASS
40,40,Inferior frontal gyrus,IFG_R_6_6,NGIQ-BR-00000056,right,A44v_R,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp040_IFG_R_6_6_prob_2009c.nii.gz,8d6d5acb106a9092382de53e22e33092fd6a369494bba4a936bb2465c0f99682,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6183,19684,130902.028,2569.3373,0.019628,3.183568,True,True,True,True,True,True,0.0,1.0,PASS
41,41,Orbital gyrus,OrG_L_6_1,NGIQ-BR-00000057,left,A14m_L,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp041_OrG_L_6_1_prob_2009c.nii.gz,589ff1fbd9970e22b6126160c79a8b084831f671f8f7f484924f3151cfeba31d,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9826,32401,254170.9923,5532.6683,0.021768,3.297476,True,True,True,True,True,True,0.0,0.985907,PASS
42,42,Orbital gyrus,OrG_R_6_1,NGIQ-BR-00000058,right,A14m_R,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp042_OrG_R_6_1_prob_2009c.nii.gz,18c006779d080c975d2211b1f7f767d99d0b6aaeb0b64a790baddd05aaeca9b6,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7404,22672,280136.5289,6086.4937,0.021727,3.062129,True,True,True,True,True,True,0.0,0.890014,PASS
43,43,Orbital gyrus,OrG_L_6_2,NGIQ-BR-00000059,left,A12/47o_L,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp043_OrG_L_6_2_prob_2009c.nii.gz,c691749cf4cefe67148aa45c7e501e8145bee0ec24c6fdb68aa14f4dbf0a3ee6,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,12050,35123,289340.1769,6075.6012,0.020998,2.914772,True,True,True,True,True,True,0.0,1.0,PASS
44,44,Orbital gyrus,OrG_R_6_2,NGIQ-BR-00000060,right,A12/47o_R,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp044_OrG_R_6_2_prob_2009c.nii.gz,0d784189de666ef0aa65d68e5d13b8476874bb61af2e00389ea53808edad1f60,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11563,33636,270083.8814,5621.1108,0.020812,2.908934,True,True,True,True,True,True,0.0,0.999545,PASS
45,45,Orbital gyrus,OrG_L_6_3,NGIQ-BR-00000061,left,A11l_L,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp045_OrG_L_6_3_prob_2009c.nii.gz,b6c8447d27397c320d7fcac2b679faaab752cae03b400b94f9545ce3ea81fe94,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11753,35907,357200.7092,7512.0908,0.02103,3.055135,True,True,True,True,True,True,0.0,0.99988,PASS
46,46,Orbital gyrus,OrG_R_6_3,NGIQ-BR-00000062,right,A11l_R,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp046_OrG_R_6_3_prob_2009c.nii.gz,a9ae9ca1d121dc52f527a0859fcc9c01efe30da8bb7a0d973c7c69f759c83243,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11258,31538,441688.6282,9145.4723,0.020706,2.801386,True,True,True,True,True,True,0.0,0.999725,PASS
47,47,Orbital gyrus,OrG_L_6_4,NGIQ-BR-00000063,left,A11m_L,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp047_OrG_L_6_4_prob_2009c.nii.gz,84e39517f152e97baf003097658dcdbfc41f85dff1e32304d4c0b214904dc056,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,13538,42579,288860.0314,6168.299,0.021354,3.145147,True,True,True,True,True,True,0.0,0.987653,PASS
48,48,Orbital gyrus,OrG_R_6_4,NGIQ-BR-00000064,right,A11m_R,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp048_OrG_R_6_4_prob_2009c.nii.gz,88d5d53d8709bd23c2a4ea869e70497dbd734d8c85cee680580020185f73769e,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,13019,40278,299264.9901,6516.5487,0.021775,3.093786,True,True,True,True,True,True,0.0,0.938664,PASS
49,49,Orbital gyrus,OrG_L_6_5,NGIQ-BR-00000065,left,A13_L,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp049_OrG_L_6_5_prob_2009c.nii.gz,b8bf1abe96c500faac4349947dd6ddaae6a8f83678147c7752f5c288b8892e6d,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,12360,36512,387674.1303,7879.9289,0.020326,2.954045,True,True,True,True,True,True,0.0,0.992832,PASS
50,50,Orbital gyrus,OrG_R_6_5,NGIQ-BR-00000066,right,A13_R,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp050_OrG_R_6_5_prob_2009c.nii.gz,f3cd5d5dde92b62b166ef4c5e69f25458c080d0133c27549281ff82c2510002c,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,15459,44266,382086.9673,7833.7593,0.020503,2.863445,True,True,True,True,True,True,0.0,0.956061,PASS
51,51,Orbital gyrus,OrG_L_6_6,NGIQ-BR-00000067,left,A12/47l_L,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp051_OrG_L_6_6_prob_2009c.nii.gz,c805eb4d930c783760392be94a52f2bba30dc583dc963d651112b801a89ecc41,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6615,22134,219253.9574,4535.0103,0.020684,3.346032,True,True,True,True,True,True,0.0,1.0,PASS
52,52,Orbital gyrus,OrG_R_6_6,NGIQ-BR-00000068,right,A12/47l_R,Frontal lobe,Orbital gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp052_OrG_R_6_6_prob_2009c.nii.gz,3fd4fc31902ed7d0e495631bf37e9a555f8f568d3762a14713a394957383cd58,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6269,19811,201039.0025,4065.5483,0.020223,3.160153,True,True,True,True,True,True,0.0,1.0,PASS
53,53,Precentral gyrus,PrG_L_6_1,NGIQ-BR-00000069,left,A4hf_L,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp053_PrG_L_6_1_prob_2009c.nii.gz,5f94b273e535e36c8605d9cae98139406c5e4ec67deba1b1858af77452fac671,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10947,34661,366109.5259,7815.9239,0.021349,3.166256,True,True,True,True,True,True,0.0,1.0,PASS
54,54,Precentral gyrus,PrG_R_6_1,NGIQ-BR-00000070,right,A4hf_R,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp054_PrG_R_6_1_prob_2009c.nii.gz,ec15ef44d60936155976a2cf8cec64e205cff6228680e0a33f3c54d37275abb1,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,13432,37825,294591.6829,6111.0823,0.020744,2.816036,True,True,True,True,True,True,0.0,1.0,PASS
55,55,Precentral gyrus,PrG_L_6_2,NGIQ-BR-00000071,left,A6cdl_L,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp055_PrG_L_6_2_prob_2009c.nii.gz,f52d6f67303413ee600c267f608d97e1a6f2c142b9684bddf00850be3599bfb5,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9889,32171,290820.1212,6365.1812,0.021887,3.253211,True,True,True,True,True,True,0.0,1.0,PASS
56,56,Precentral gyrus,PrG_R_6_2,NGIQ-BR-00000072,right,A6cdl_R,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp056_PrG_R_6_2_prob_2009c.nii.gz,597d70a6c482b3e0d6bf4be125c6856b15d4676ffbde1d39f9caab6a3a00edb9,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9920,29260,292860.2623,5621.396,0.019195,2.949597,True,True,True,True,True,True,0.0,1.0,PASS
57,57,Precentral gyrus,PrG_L_6_3,NGIQ-BR-00000073,left,A4ul_L,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp057_PrG_L_6_3_prob_2009c.nii.gz,bdeaea5d6eb3ea65e7a0ba9f012df398037ff6fdc2c258319f22b6e7937a07c2,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11472,35395,279815.2771,5425.6768,0.01939,3.085338,True,True,True,True,True,True,0.0,1.0,PASS
58,58,Precentral gyrus,PrG_R_6_3,NGIQ-BR-00000074,right,A4ul_R,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp058_PrG_R_6_3_prob_2009c.nii.gz,334d9e650ecaf28ab4f369914558dcd83d4ee02873be54c30b3f0e9799ab4f3f,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11913,33816,316847.2195,6522.1902,0.020585,2.83858,True,True,True,True,True,True,0.0,1.0,PASS
59,59,Precentral gyrus,PrG_L_6_4,NGIQ-BR-00000075,left,A4t_L,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp059_PrG_L_6_4_prob_2009c.nii.gz,3cb4a2922e03e277413e2ad2b0c4c57dbfb62465292975447bae7d0bf7fcfcb6,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,13154,38876,217431.6937,4454.0204,0.020485,2.955451,True,True,True,True,True,True,0.0,1.0,PASS
60,60,Precentral gyrus,PrG_R_6_4,NGIQ-BR-00000076,right,A4t_R,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp060_PrG_R_6_4_prob_2009c.nii.gz,7cd6ed80833a54dff51cbe94b45c7e857a43e7705c31c30f3f8a3f3f5a6fde58,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11040,33486,211862.8095,3998.3636,0.018872,3.033152,True,True,True,True,True,True,0.0,1.0,PASS
61,61,Precentral gyrus,PrG_L_6_5,NGIQ-BR-00000077,left,A4tl_L,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp061_PrG_L_6_5_prob_2009c.nii.gz,767a9170292c9794356a74e61803b6213cc0de136af3fdf703d0ee4cfbe18f87,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,5567,18827,197562.6522,4007.2247,0.020283,3.381893,True,True,True,True,True,True,0.0,1.0,PASS
62,62,Precentral gyrus,PrG_R_6_5,NGIQ-BR-00000078,right,A4tl_R,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp062_PrG_R_6_5_prob_2009c.nii.gz,db1bf791c89b7fa0d7a26638bdb8fd1313fe040e5de0cc4d2b25a8823e17acdf,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,8516,28778,214906.0671,4517.1852,0.021019,3.379286,True,True,True,True,True,True,0.0,1.0,PASS
