source_g4,target_count,candidate_targets,final_targets,target_set_match,per_target_coverage_match,duplicate_target_count,missing_target_count,extra_target_count,partial_review_result
NGIQ-BR-00000587,2,NGIQ-BR-00000200;NGIQ-BR-00000118,NGIQ-BR-00000200;NGIQ-BR-00000118,True,True,0,0,0,PASS
NGIQ-BR-00000593,3,NGIQ-BR-00000116;NGIQ-BR-00000126;NGIQ-BR-00000120,NGIQ-BR-00000116;NGIQ-BR-00000126;NGIQ-BR-00000120,True,True,0,0,0,PASS
NGIQ-BR-00000595,2,NGIQ-BR-00000088;NGIQ-BR-00000092,NGIQ-BR-00000088;NGIQ-BR-00000092,True,True,0,0,0,PASS
NGIQ-BR-00000596,2,NGIQ-BR-00000087;NGIQ-BR-00000091,NGIQ-BR-00000087;NGIQ-BR-00000091,True,True,0,0,0,PASS
NGIQ-BR-00000600,3,NGIQ-BR-00000115;NGIQ-BR-00000101;NGIQ-BR-00000119,NGIQ-BR-00000115;NGIQ-BR-00000101;NGIQ-BR-00000119,True,True,0,0,0,PASS
NGIQ-BR-00000601,3,NGIQ-BR-00000120;NGIQ-BR-00000206;NGIQ-BR-00000118,NGIQ-BR-00000120;NGIQ-BR-00000206;NGIQ-BR-00000118,True,True,0,0,0,PASS
NGIQ-BR-00000602,2,NGIQ-BR-00000119;NGIQ-BR-00000117,NGIQ-BR-00000119;NGIQ-BR-00000117,True,True,0,0,0,PASS
NGIQ-BR-00000603,2,NGIQ-BR-00000118;NGIQ-BR-00000116,NGIQ-BR-00000118;NGIQ-BR-00000116,True,True,0,0,0,PASS
NGIQ-BR-00000604,3,NGIQ-BR-00000117;NGIQ-BR-00000115;NGIQ-BR-00000119,NGIQ-BR-00000117;NGIQ-BR-00000115;NGIQ-BR-00000119,True,True,0,0,0,PASS
NGIQ-BR-00000610,3,NGIQ-BR-00000085;NGIQ-BR-00000153;NGIQ-BR-00000089,NGIQ-BR-00000085;NGIQ-BR-00000153;NGIQ-BR-00000089,True,True,0,0,0,PASS
NGIQ-BR-00000617,2,NGIQ-BR-00000212;NGIQ-BR-00000204,NGIQ-BR-00000212;NGIQ-BR-00000204,True,True,0,0,0,PASS
NGIQ-BR-00000618,2,NGIQ-BR-00000211;NGIQ-BR-00000203,NGIQ-BR-00000211;NGIQ-BR-00000203,True,True,0,0,0,PASS
NGIQ-BR-00000620,2,NGIQ-BR-00000211;NGIQ-BR-00000207,NGIQ-BR-00000211;NGIQ-BR-00000207,True,True,0,0,0,PASS
NGIQ-BR-00000621,2,NGIQ-BR-00000210;NGIQ-BR-00000200,NGIQ-BR-00000210;NGIQ-BR-00000200,True,True,0,0,0,PASS
NGIQ-BR-00000622,2,NGIQ-BR-00000209;NGIQ-BR-00000015,NGIQ-BR-00000209;NGIQ-BR-00000015,True,True,0,0,0,PASS
NGIQ-BR-00000623,2,NGIQ-BR-00000210;NGIQ-BR-00000118,NGIQ-BR-00000210;NGIQ-BR-00000118,True,True,0,0,0,PASS
NGIQ-BR-00000624,4,NGIQ-BR-00000209;NGIQ-BR-00000117;NGIQ-BR-00000015;NGIQ-BR-00000199,NGIQ-BR-00000209;NGIQ-BR-00000117;NGIQ-BR-00000015;NGIQ-BR-00000199,True,True,0,0,0,PASS
NGIQ-BR-00000630,2,NGIQ-BR-00000205;NGIQ-BR-00000209,NGIQ-BR-00000205;NGIQ-BR-00000209,True,True,0,0,0,PASS
