hemisphere,dk_label_id,dk_label_name,dk_vertex_count,g1_entity_id,g1_name_en,alignment_status,alignment_method
right,10,isthmuscingulate,2388,NGIQ-BR-00000307,Right Isthmus Of Cingulate Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,11,lateraloccipital,5963,NGIQ-BR-00000308,Right Lateral Occipital Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,12,lateralorbitofrontal,4354,NGIQ-BR-00000309,Right Lateral Orbitofrontal Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,13,lingual,3894,NGIQ-BR-00000310,Right Lingual Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,14,medialorbitofrontal,2801,NGIQ-BR-00000311,Right Medial Orbitofrontal Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,15,middletemporal,5057,NGIQ-BR-00000312,Right Middle Temporal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,16,parahippocampal,1742,NGIQ-BR-00000313,Right Parahippocampal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,17,paracentral,3831,NGIQ-BR-00000314,Right Paracentral Lobule,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,18,parsopercularis,2472,NGIQ-BR-00000315,"Right Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,19,parsorbitalis,946,NGIQ-BR-00000316,"Right Inferior Frontal Gyrus, Pars Orbitalis",ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,20,parstriangularis,2380,NGIQ-BR-00000317,"Right Inferior Frontal Gyrus, Pars Triangularis",ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,21,pericalcarine,1823,NGIQ-BR-00000318,Right Pericalcarine Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,22,postcentral,9138,NGIQ-BR-00000319,Right Postcentral Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,23,posteriorcingulate,2994,NGIQ-BR-00000320,Right Posterior Cingulate Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,24,precentral,10705,NGIQ-BR-00000321,Right Precentral Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,25,precuneus,7975,NGIQ-BR-00000322,Right Precuneus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,26,rostralanteriorcingulate,1051,NGIQ-BR-00000323,Right Rostral Anterior Cingulate Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,27,rostralmiddlefrontal,7864,NGIQ-BR-00000324,Right Rostral Middle Frontal Cortex,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,28,superiorfrontal,11878,NGIQ-BR-00000325,Right Superior Frontal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,29,superiorparietal,10222,NGIQ-BR-00000326,Right Superior Parietal Lobule,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,30,superiortemporal,6868,NGIQ-BR-00000327,Right Superior Temporal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,31,supramarginal,8150,NGIQ-BR-00000328,Right Supramarginal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,32,frontalpole,369,,,NO_G1_TARGET,DETERMINISTIC_FREESURFER_LABEL_MAP
right,33,temporalpole,817,,,NO_G1_TARGET,DETERMINISTIC_FREESURFER_LABEL_MAP
right,34,transversetemporal,781,NGIQ-BR-00000329,Right Transverse Temporal Gyrus,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
right,35,insula,5090,NGIQ-BR-00000330,Right Insula,ALIGNED,DETERMINISTIC_FREESURFER_LABEL_MAP
