parcel_id,official_hemisphere_code,modified_cyto_code,volumetric_label_index,official_compact_ext_id,hemisphere,g3_entity_id,g3_name,alignment_method,alignment_status
128,SPL_R_5_2,A7c,128,SPL_R_5_2,right,NGIQ-BR-00000138,SPL_R_5_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
129,SPL_L_5_3,A5l,129,SPL_L_5_3,left,NGIQ-BR-00000139,SPL_L_5_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
130,SPL_R_5_3,A5l,130,SPL_R_5_3,right,NGIQ-BR-00000140,SPL_R_5_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
131,SPL_L_5_4,A7pc,131,SPL_L_5_4,left,NGIQ-BR-00000141,SPL_L_5_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
132,SPL_R_5_4,A7pc,132,SPL_R_5_4,right,NGIQ-BR-00000142,SPL_R_5_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
133,SPL_L_5_5,A7ip,133,SPL_L_5_5,left,NGIQ-BR-00000143,SPL_L_5_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
134,SPL_R_5_5,A7ip,134,SPL_R_5_5,right,NGIQ-BR-00000144,SPL_R_5_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
135,IPL_L_6_1,A39c,135,IPL_L_6_1,left,NGIQ-BR-00000011,IPL_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
136,IPL_R_6_1,A39c,136,IPL_R_6_1,right,NGIQ-BR-00000012,IPL_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
137,IPL_L_6_2,A39rd,137,IPL_L_6_2,left,NGIQ-BR-00000145,IPL_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
138,IPL_R_6_2,A39rd,138,IPL_R_6_2,right,NGIQ-BR-00000146,IPL_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
139,IPL_L_6_3,A40rd,139,IPL_L_6_3,left,NGIQ-BR-00000147,IPL_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
140,IPL_R_6_3,A40rd,140,IPL_R_6_3,right,NGIQ-BR-00000148,IPL_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
141,IPL_L_6_4,A40c,141,IPL_L_6_4,left,NGIQ-BR-00000149,IPL_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
142,IPL_R_6_4,A40c,142,IPL_R_6_4,right,NGIQ-BR-00000150,IPL_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
143,IPL_L_6_5,A39rv,143,IPL_L_6_5,left,NGIQ-BR-00000151,IPL_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
144,IPL_R_6_5,A39rv,144,IPL_R_6_5,right,NGIQ-BR-00000152,IPL_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
145,IPL_L_6_6,A40rv,145,IPL_L_6_6,left,NGIQ-BR-00000153,IPL_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
146,IPL_R_6_6,A40rv,146,IPL_R_6_6,right,NGIQ-BR-00000154,IPL_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
147,PCun_L_4_1,A7m,147,PCun_L_4_1,left,NGIQ-BR-00000155,PCun_L_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
148,PCun_R_4_1,A7m,148,PCun_R_4_1,right,NGIQ-BR-00000156,PCun_R_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
149,PCun_L_4_2,A5m,149,PCun_L_4_2,left,NGIQ-BR-00000157,PCun_L_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
150,PCun_R_4_2,A5m,150,PCun_R_4_2,right,NGIQ-BR-00000158,PCun_R_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
151,PCun_L_4_3,dmPOS,151,PCun_L_4_3,left,NGIQ-BR-00000159,PCun_L_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
152,PCun_R_4_3,dmPOS,152,PCun_R_4_3,right,NGIQ-BR-00000160,PCun_R_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
153,PCun_L_4_4,A31,153,PCun_L_4_4,left,NGIQ-BR-00000161,PCun_L_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
154,PCun_R_4_4,A31,154,PCun_R_4_4,right,NGIQ-BR-00000162,PCun_R_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
155,PoG_L_4_1,A1/2/3ulhf,155,PoG_L_4_1,left,NGIQ-BR-00000163,PoG_L_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
156,PoG_R_4_1,A1/2/3ulhf,156,PoG_R_4_1,right,NGIQ-BR-00000164,PoG_R_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
157,PoG_L_4_2,A1/2/3tonIa,157,PoG_L_4_2,left,NGIQ-BR-00000165,PoG_L_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
158,PoG_R_4_2,A1/2/3tonIa,158,PoG_R_4_2,right,NGIQ-BR-00000166,PoG_R_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
159,PoG_L_4_3,A2,159,PoG_L_4_3,left,NGIQ-BR-00000167,PoG_L_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
160,PoG_R_4_3,A2,160,PoG_R_4_3,right,NGIQ-BR-00000168,PoG_R_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
161,PoG_L_4_4,A1/2/3tru,161,PoG_L_4_4,left,NGIQ-BR-00000169,PoG_L_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
162,PoG_R_4_4,A1/2/3tru,162,PoG_R_4_4,right,NGIQ-BR-00000170,PoG_R_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
163,INS_L_6_1,G,163,Ins_L_6_1,left,NGIQ-BR-00000013,Ins_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
164,INS_R_6_1,G,164,Ins_R_6_1,right,NGIQ-BR-00000014,Ins_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
165,INS_L_6_2,vIa,165,Ins_L_6_2,left,NGIQ-BR-00000171,Ins_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
166,INS_R_6_2,vIa,166,Ins_R_6_2,right,NGIQ-BR-00000172,Ins_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
167,INS_L_6_3,dIa,167,Ins_L_6_3,left,NGIQ-BR-00000173,Ins_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
168,INS_R_6_3,dIa,168,Ins_R_6_3,right,NGIQ-BR-00000174,Ins_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
169,INS_L_6_4,vId/vIg,169,Ins_L_6_4,left,NGIQ-BR-00000175,Ins_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
170,INS_R_6_4,vId/vIg,170,Ins_R_6_4,right,NGIQ-BR-00000176,Ins_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
171,INS_L_6_5,dIg,171,Ins_L_6_5,left,NGIQ-BR-00000177,Ins_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
172,INS_R_6_5,dIg,172,Ins_R_6_5,right,NGIQ-BR-00000178,Ins_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
173,INS_L_6_6,dId,173,Ins_L_6_6,left,NGIQ-BR-00000179,Ins_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
174,INS_R_6_6,dId,174,Ins_R_6_6,right,NGIQ-BR-00000180,Ins_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
175,CG_L_7_1,A23d,175,CG_L_7_1,left,NGIQ-BR-00000181,CG_L_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
176,CG_R_7_1,A23d,176,CG_R_7_1,right,NGIQ-BR-00000182,CG_R_7_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
177,CG_L_7_2,A24rv,177,CG_L_7_2,left,NGIQ-BR-00000183,CG_L_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
178,CG_R_7_2,A24rv,178,CG_R_7_2,right,NGIQ-BR-00000184,CG_R_7_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
179,CG_L_7_3,A32p,179,CG_L_7_3,left,NGIQ-BR-00000185,CG_L_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
180,CG_R_7_3,A32p,180,CG_R_7_3,right,NGIQ-BR-00000186,CG_R_7_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
181,CG_L_7_4,A23v,181,CG_L_7_4,left,NGIQ-BR-00000187,CG_L_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
182,CG_R_7_4,A23v,182,CG_R_7_4,right,NGIQ-BR-00000188,CG_R_7_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
183,CG_L_7_5,A24cd,183,CG_L_7_5,left,NGIQ-BR-00000189,CG_L_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
184,CG_R_7_5,A24cd,184,CG_R_7_5,right,NGIQ-BR-00000190,CG_R_7_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
185,CG_L_7_6,A23c,185,CG_L_7_6,left,NGIQ-BR-00000191,CG_L_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
186,CG_R_7_6,A23c,186,CG_R_7_6,right,NGIQ-BR-00000192,CG_R_7_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
187,CG_L_7_7,A32sg,187,CG_L_7_7,left,NGIQ-BR-00000193,CG_L_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
188,CG_R_7_7,A32sg,188,CG_R_7_7,right,NGIQ-BR-00000194,CG_R_7_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
189,MVOcC_L_5_1,cLinG,189,Cun_L_5_1,left,NGIQ-BR-00000015,Cun_L_5_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
190,MVOcC_R_5_1,cLinG,190,Cun_R_5_1,right,NGIQ-BR-00000016,Cun_R_5_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
191,MVOcC_L_5_2,rCunG,191,Cun_L_5_2,left,NGIQ-BR-00000195,Cun_L_5_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
192,MVOcC_R_5_2,rCunG,192,Cun_R_5_2,right,NGIQ-BR-00000196,Cun_R_5_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
193,MVOcC_L_5_3,cCunG,193,Cun_L_5_3,left,NGIQ-BR-00000197,Cun_L_5_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
194,MVOcC_R_5_3,cCunG,194,Cun_R_5_3,right,NGIQ-BR-00000198,Cun_R_5_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
195,MVOcC_L_5_4,rLinG,195,Cun_L_5_4,left,NGIQ-BR-00000199,Cun_L_5_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
196,MVOcC_R_5_4,rLinG,196,Cun_R_5_4,right,NGIQ-BR-00000200,Cun_R_5_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
197,MVOcC_L_5_5,vmPOS,197,Cun_L_5_5,left,NGIQ-BR-00000201,Cun_L_5_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
198,MVOcC_R_5_5,vmPOS,198,Cun_R_5_5,right,NGIQ-BR-00000202,Cun_R_5_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
199,LOcC_L_4_1,mOccG,199,OcG_L_4_1,left,NGIQ-BR-00000203,OcG_L_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
200,LOcC_R_4_1,mOccG,200,OcG_R_4_1,right,NGIQ-BR-00000204,OcG_R_4_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
201,LOcC_L_4_2,V5/MT+,201,OcG_L_4_2,left,NGIQ-BR-00000205,OcG_L_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
202,LOcC_R_4_2,V5/MT+,202,OcG_R_4_2,right,NGIQ-BR-00000206,OcG_R_4_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
203,LOcC_L_4_3,OPC,203,OcG_L_4_3,left,NGIQ-BR-00000207,OcG_L_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
204,LOcC_R_4_3,OPC,204,OcG_R_4_3,right,NGIQ-BR-00000208,OcG_R_4_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
205,LOcC_L_4_4,iOccG,205,OcG_L_4_4,left,NGIQ-BR-00000209,OcG_L_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
206,LOcC_R_4_4,iOccG,206,OcG_R_4_4,right,NGIQ-BR-00000210,OcG_R_4_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
207,LOcC_L_2_1,msOccG,207,sOcG_L_2_1,left,NGIQ-BR-00000211,sOcG_L_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
208,LOcC_R_2_1,msOccG,208,sOcG_R_2_1,right,NGIQ-BR-00000212,sOcG_R_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
209,LOcC_L_2_2,lsOccG,209,sOcG_L_2_2,left,NGIQ-BR-00000213,sOcG_L_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
210,LOcC_R_2_2,lsOccG,210,sOcG_R_2_2,right,NGIQ-BR-00000214,sOcG_R_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
211,Amyg_L_2_1,mAmyg,211,Amg_L_2_1,left,NGIQ-BR-00000215,Amg_L_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
212,Amyg_R_2_1,mAmyg,212,Amg_R_2_1,right,NGIQ-BR-00000216,Amg_R_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
213,Amyg_L_2_2,lAmyg,213,Amg_L_2_2,left,NGIQ-BR-00000217,Amg_L_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
214,Amyg_R_2_2,lAmyg,214,Amg_R_2_2,right,NGIQ-BR-00000218,Amg_R_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
215,Hipp_L_2_1,rHipp,215,Hipp_L_2_1,left,NGIQ-BR-00000017,Hipp_L_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
216,Hipp_R_2_1,rHipp,216,Hipp_R_2_1,right,NGIQ-BR-00000018,Hipp_R_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
217,Hipp_L_2_2,cHipp,217,Hipp_L_2_2,left,NGIQ-BR-00000219,Hipp_L_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
218,Hipp_R_2_2,cHipp,218,Hipp_R_2_2,right,NGIQ-BR-00000220,Hipp_R_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
219,BG_L_6_1,vCa,219,Str_L_6_1,left,NGIQ-BR-00000019,Str_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
220,BG_R_6_1,vCa,220,Str_R_6_1,right,NGIQ-BR-00000221,Str_R_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
221,BG_L_6_2,GP,221,Str_L_6_2,left,NGIQ-BR-00000222,Str_L_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
222,BG_R_6_2,GP,222,Str_R_6_2,right,NGIQ-BR-00000223,Str_R_6_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
223,BG_L_6_3,NAC,223,Str_L_6_3,left,NGIQ-BR-00000224,Str_L_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
224,BG_R_6_3,NAC,224,Str_R_6_3,right,NGIQ-BR-00000225,Str_R_6_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
225,BG_L_6_4,vmPu,225,Str_L_6_4,left,NGIQ-BR-00000226,Str_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
226,BG_R_6_4,vmPu,226,Str_R_6_4,right,NGIQ-BR-00000227,Str_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
227,BG_L_6_5,dCa,227,Str_L_6_5,left,NGIQ-BR-00000228,Str_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
228,BG_R_6_5,dCa,228,Str_R_6_5,right,NGIQ-BR-00000229,Str_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
229,BG_L_6_6,dlPu,229,Str_L_6_6,left,NGIQ-BR-00000230,Str_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
230,BG_R_6_6,dlPu,230,Str_R_6_6,right,NGIQ-BR-00000231,Str_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
231,Tha_L_8_1,mPFtha,231,Th_L_8_1,left,NGIQ-BR-00000020,Th_L_8_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
232,Tha_R_8_1,mPFtha,232,Th_R_8_1,right,NGIQ-BR-00000232,Th_R_8_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
233,Tha_L_8_2,mPMtha,233,Th_L_8_2,left,NGIQ-BR-00000233,Th_L_8_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
234,Tha_R_8_2,mPMtha,234,Th_R_8_2,right,NGIQ-BR-00000234,Th_R_8_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
235,Tha_L_8_3,Stha,235,Th_L_8_3,left,NGIQ-BR-00000235,Th_L_8_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
236,Tha_R_8_3,Stha,236,Th_R_8_3,right,NGIQ-BR-00000236,Th_R_8_3,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
237,Tha_L_8_4,rTtha,237,Th_L_8_4,left,NGIQ-BR-00000237,Th_L_8_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
238,Tha_R_8_4,rTtha,238,Th_R_8_4,right,NGIQ-BR-00000238,Th_R_8_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
239,Tha_L_8_5,PPtha,239,Th_L_8_5,left,NGIQ-BR-00000239,Th_L_8_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
240,Tha_R_8_5,PPtha,240,Th_R_8_5,right,NGIQ-BR-00000240,Th_R_8_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
241,Tha_L_8_6,Otha,241,Th_L_8_6,left,NGIQ-BR-00000241,Th_L_8_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
242,Tha_R_8_6,Otha,242,Th_R_8_6,right,NGIQ-BR-00000242,Th_R_8_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
243,Tha_L_8_7,cTtha,243,Th_L_8_7,left,NGIQ-BR-00000243,Th_L_8_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
244,Tha_R_8_7,cTtha,244,Th_R_8_7,right,NGIQ-BR-00000244,Th_R_8_7,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
245,Tha_L_8_8,lPFtha,245,Th_L_8_8,left,NGIQ-BR-00000245,Th_L_8_8,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
246,Tha_R_8_8,lPFtha,246,Th_R_8_8,right,NGIQ-BR-00000246,Th_R_8_8,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
