parcel_id,official_code,official_macro_gyrus,official_modified_name,hemisphere,g3_entity_id,g3_name_en,g3_name_zh,g3_source_name_original,current_alias,alignment_method,alignment_status
23,MFG_L_7_5,"MFG, Middle frontal gyrus",ventrolateral area 8,left,NGIQ-BR-00000041,"Left Middle frontal gyrus, Brainnetome 7_5",左侧额中回（Brainnetome 7-5）,MFG_L_7_5,MFG_L_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
24,MFG_R_7_5,"MFG, Middle frontal gyrus",ventrolateral area 8,right,NGIQ-BR-00000042,"Right Middle frontal gyrus, Brainnetome 7_5",右侧额中回（Brainnetome 7-5）,MFG_R_7_5,MFG_R_7_5,EXACT_BRAINNETOME_XREF,ALIGNED
25,MFG_L_7_6,"MFG, Middle frontal gyrus",ventrolateral area 6,left,NGIQ-BR-00000043,"Left Middle frontal gyrus, Brainnetome 7_6",左侧额中回（Brainnetome 7-6）,MFG_L_7_6,MFG_L_7_6,EXACT_BRAINNETOME_XREF,ALIGNED
26,MFG_R_7_6,"MFG, Middle frontal gyrus",ventrolateral area 6,right,NGIQ-BR-00000044,"Right Middle frontal gyrus, Brainnetome 7_6",右侧额中回（Brainnetome 7-6）,MFG_R_7_6,MFG_R_7_6,EXACT_BRAINNETOME_XREF,ALIGNED
27,MFG_L_7_7,"MFG, Middle frontal gyrus",lateral area 10,left,NGIQ-BR-00000045,"Left Middle frontal gyrus, Brainnetome 7_7",左侧额中回（Brainnetome 7-7）,MFG_L_7_7,MFG_L_7_7,EXACT_BRAINNETOME_XREF,ALIGNED
28,MFG_R_7_7,"MFG, Middle frontal gyrus",lateral area 10,right,NGIQ-BR-00000046,"Right Middle frontal gyrus, Brainnetome 7_7",右侧额中回（Brainnetome 7-7）,MFG_R_7_7,MFG_R_7_7,EXACT_BRAINNETOME_XREF,ALIGNED
29,IFG_L_6_1,"IFG, Inferior frontal gyrus",dorsal area 44,left,NGIQ-BR-00000003,"Left Inferior frontal gyrus, Brainnetome 6_1",左侧额下回（Brainnetome 6-1）,IFG_L_6_1,IFG_L_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
30,IFG_R_6_1,"IFG, Inferior frontal gyrus",dorsal area 44,right,NGIQ-BR-00000004,"Right Inferior frontal gyrus, Brainnetome 6_1",右侧额下回（Brainnetome 6-1）,IFG_R_6_1,IFG_R_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
31,IFG_L_6_2,"IFG, Inferior frontal gyrus",inferior frontal sulcus,left,NGIQ-BR-00000047,"Left Inferior frontal gyrus, Brainnetome 6_2",左侧额下回（Brainnetome 6-2）,IFG_L_6_2,IFG_L_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
32,IFG_R_6_2,"IFG, Inferior frontal gyrus",inferior frontal sulcus,right,NGIQ-BR-00000048,"Right Inferior frontal gyrus, Brainnetome 6_2",右侧额下回（Brainnetome 6-2）,IFG_R_6_2,IFG_R_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
33,IFG_L_6_3,"IFG, Inferior frontal gyrus",caudal area 45,left,NGIQ-BR-00000049,"Left Inferior frontal gyrus, Brainnetome 6_3",左侧额下回（Brainnetome 6-3）,IFG_L_6_3,IFG_L_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
34,IFG_R_6_3,"IFG, Inferior frontal gyrus",caudal area 45,right,NGIQ-BR-00000050,"Right Inferior frontal gyrus, Brainnetome 6_3",右侧额下回（Brainnetome 6-3）,IFG_R_6_3,IFG_R_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
35,IFG_L_6_4,"IFG, Inferior frontal gyrus",rostral area 45,left,NGIQ-BR-00000051,"Left Inferior frontal gyrus, Brainnetome 6_4",左侧额下回（Brainnetome 6-4）,IFG_L_6_4,IFG_L_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
36,IFG_R_6_4,"IFG, Inferior frontal gyrus",rostral area 45,right,NGIQ-BR-00000052,"Right Inferior frontal gyrus, Brainnetome 6_4",右侧额下回（Brainnetome 6-4）,IFG_R_6_4,IFG_R_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
37,IFG_L_6_5,"IFG, Inferior frontal gyrus",opercular area 44,left,NGIQ-BR-00000053,"Left Inferior frontal gyrus, Brainnetome 6_5",左侧额下回（Brainnetome 6-5）,IFG_L_6_5,IFG_L_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
38,IFG_R_6_5,"IFG, Inferior frontal gyrus",opercular area 44,right,NGIQ-BR-00000054,"Right Inferior frontal gyrus, Brainnetome 6_5",右侧额下回（Brainnetome 6-5）,IFG_R_6_5,IFG_R_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
39,IFG_L_6_6,"IFG, Inferior frontal gyrus",ventral area 44,left,NGIQ-BR-00000055,"Left Inferior frontal gyrus, Brainnetome 6_6",左侧额下回（Brainnetome 6-6）,IFG_L_6_6,IFG_L_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
40,IFG_R_6_6,"IFG, Inferior frontal gyrus",ventral area 44,right,NGIQ-BR-00000056,"Right Inferior frontal gyrus, Brainnetome 6_6",右侧额下回（Brainnetome 6-6）,IFG_R_6_6,IFG_R_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
41,OrG_L_6_1,"OrG, Orbital gyrus",medial area 14,left,NGIQ-BR-00000057,"Left Orbital gyrus, Brainnetome 6_1",左侧眶回（Brainnetome 6-1）,OrG_L_6_1,OrG_L_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
42,OrG_R_6_1,"OrG, Orbital gyrus",medial area 14,right,NGIQ-BR-00000058,"Right Orbital gyrus, Brainnetome 6_1",右侧眶回（Brainnetome 6-1）,OrG_R_6_1,OrG_R_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
43,OrG_L_6_2,"OrG, Orbital gyrus",orbital area 12/47,left,NGIQ-BR-00000059,"Left Orbital gyrus, Brainnetome 6_2",左侧眶回（Brainnetome 6-2）,OrG_L_6_2,OrG_L_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
44,OrG_R_6_2,"OrG, Orbital gyrus",orbital area 12/47,right,NGIQ-BR-00000060,"Right Orbital gyrus, Brainnetome 6_2",右侧眶回（Brainnetome 6-2）,OrG_R_6_2,OrG_R_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
45,OrG_L_6_3,"OrG, Orbital gyrus",lateral area 11,left,NGIQ-BR-00000061,"Left Orbital gyrus, Brainnetome 6_3",左侧眶回（Brainnetome 6-3）,OrG_L_6_3,OrG_L_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
46,OrG_R_6_3,"OrG, Orbital gyrus",lateral area 11,right,NGIQ-BR-00000062,"Right Orbital gyrus, Brainnetome 6_3",右侧眶回（Brainnetome 6-3）,OrG_R_6_3,OrG_R_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
47,OrG_L_6_4,"OrG, Orbital gyrus",medial area 11,left,NGIQ-BR-00000063,"Left Orbital gyrus, Brainnetome 6_4",左侧眶回（Brainnetome 6-4）,OrG_L_6_4,OrG_L_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
48,OrG_R_6_4,"OrG, Orbital gyrus",medial area 11,right,NGIQ-BR-00000064,"Right Orbital gyrus, Brainnetome 6_4",右侧眶回（Brainnetome 6-4）,OrG_R_6_4,OrG_R_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
49,OrG_L_6_5,"OrG, Orbital gyrus",area 13,left,NGIQ-BR-00000065,"Left Orbital gyrus, Brainnetome 6_5",左侧眶回（Brainnetome 6-5）,OrG_L_6_5,OrG_L_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
50,OrG_R_6_5,"OrG, Orbital gyrus",area 13,right,NGIQ-BR-00000066,"Right Orbital gyrus, Brainnetome 6_5",右侧眶回（Brainnetome 6-5）,OrG_R_6_5,OrG_R_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
51,OrG_L_6_6,"OrG, Orbital gyrus",lateral area 12/47,left,NGIQ-BR-00000067,"Left Orbital gyrus, Brainnetome 6_6",左侧眶回（Brainnetome 6-6）,OrG_L_6_6,OrG_L_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
