canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000392,Area 5Ci (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000191,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000392,Area 5Ci (SPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000081,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000397,Area 1 (PostCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000164,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000397,Area 1 (PostCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000168,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000398,Area 1 (PostCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000163,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000398,Area 1 (PostCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000167,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000398,Area 1 (PostCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000169,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000403,Area Op1 (POperc) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000154,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000403,Area Op1 (POperc) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000166,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000404,Area Op1 (POperc) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000153,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
