canonical_g4_id,canonical_g4_name,hemisphere,pp_top1_g3,pp_top1_name,pp_top2_g3,hard_top1_g3,hard_top2_g3,hard_top1_coverage,hard_top2_coverage,hard_total_bna_coverage,effective_target_count,same_two_target_set,selected_target_count,selected_cumulative_coverage,selected_targets,revised_stratum,owner_action,decision_policy_version
NGIQ-BR-00000609,"Area TPJ (STG, SMG) right",right,NGIQ-BR-00000086,Superior temporal gyrus,NGIQ-BR-00000154,NGIQ-BR-00000154,NGIQ-BR-00000090,0.39794889,0.27920349,0.97101676,3.7346,False,3,0.9096,NGIQ-BR-00000154;NGIQ-BR-00000090;NGIQ-BR-00000086,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000611,"Area hOc2 (V2, 18) right",right,NGIQ-BR-00000196,MedioVentral occipital cortex,NGIQ-BR-00000198,NGIQ-BR-00000208,NGIQ-BR-00000196,0.16253974,0.15674782,0.9574574,8.1174,False,2,0.3193,NGIQ-BR-00000208;NGIQ-BR-00000196,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000612,"Area hOc2 (V2, 18) left",left,NGIQ-BR-00000197,MedioVentral occipital cortex,NGIQ-BR-00000207,NGIQ-BR-00000207,NGIQ-BR-00000197,0.1956661,0.1575317,0.97009354,8.2233,True,2,0.3532,NGIQ-BR-00000207;NGIQ-BR-00000197,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000665,CA3 (Hippocampus) right,right,NGIQ-BR-00000018,Hippocampus,NGIQ-BR-00000220,NGIQ-BR-00000220,NGIQ-BR-00000018,0.49659706,0.31565866,0.86393073,2.5436,True,2,0.8123,NGIQ-BR-00000220;NGIQ-BR-00000018,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000666,CA3 (Hippocampus) left,left,NGIQ-BR-00000017,Hippocampus,NGIQ-BR-00000219,NGIQ-BR-00000219,NGIQ-BR-00000017,0.4862059,0.42061205,0.94356872,2.3946,True,2,0.9068,NGIQ-BR-00000219;NGIQ-BR-00000017,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000679,CA2 (Hippocampus) right,right,NGIQ-BR-00000018,Hippocampus,NGIQ-BR-00000220,NGIQ-BR-00000220,NGIQ-BR-00000018,0.47260042,0.35035556,0.85210839,2.3365,True,2,0.823,NGIQ-BR-00000220;NGIQ-BR-00000018,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000686,"TuTi (Basal Forebrain, Terminal islands) left",left,NGIQ-BR-00000065,Orbital gyrus,NGIQ-BR-00000224,NGIQ-BR-00000224,NGIQ-BR-00000065,0.51052276,0.37300679,0.89161909,2.0809,True,2,0.8835,NGIQ-BR-00000224;NGIQ-BR-00000065,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000708,"Rt (Thalamus, reticular Nucleus) left",left,NGIQ-BR-00000233,Thalamus,NGIQ-BR-00000239,NGIQ-BR-00000239,NGIQ-BR-00000233,0.17430044,0.11531431,0.64662501,6.7384,True,1,0.1743,NGIQ-BR-00000239,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000713,CGL (Metathalamus) right,right,NGIQ-BR-00000018,Hippocampus,NGIQ-BR-00000220,NGIQ-BR-00000220,NGIQ-BR-00000018,0.22335508,0.04078798,0.26415129,1.5382,True,1,0.2234,NGIQ-BR-00000220,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000723,"PUm (Thalamus, medial pulvinar) right",right,NGIQ-BR-00000240,Thalamus,NGIQ-BR-00000242,NGIQ-BR-00000242,NGIQ-BR-00000240,0.47453215,0.41290033,0.96875411,2.7194,True,2,0.8874,NGIQ-BR-00000242;NGIQ-BR-00000240,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000732,"LP (Thalamus, lateral posterior Nucleus) left",left,NGIQ-BR-00000239,Thalamus,NGIQ-BR-00000241,NGIQ-BR-00000243,NGIQ-BR-00000239,0.403143,0.32298782,0.89221479,3.575,False,2,0.7261,NGIQ-BR-00000243;NGIQ-BR-00000239,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000733,"PUi (Thalamus, inferior pulvinar) right",right,NGIQ-BR-00000018,Hippocampus,NGIQ-BR-00000220,NGIQ-BR-00000220,NGIQ-BR-00000240,0.28554085,0.24249068,0.69158962,3.7603,False,2,0.528,NGIQ-BR-00000220;NGIQ-BR-00000240,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000749,"VLP (Thalamus, ventral lateral posterior Nucleus) right",right,NGIQ-BR-00000234,Thalamus,NGIQ-BR-00000246,NGIQ-BR-00000246,NGIQ-BR-00000234,0.38299621,0.25338754,0.99535102,4.202,True,3,0.8324,NGIQ-BR-00000246;NGIQ-BR-00000234;NGIQ-BR-00000236,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000756,"VA (Thalamus, ventral anterior Nucleus (ventral)) left",left,NGIQ-BR-00000020,Thalamus,NGIQ-BR-00000245,NGIQ-BR-00000245,NGIQ-BR-00000020,0.35286611,0.29399944,0.97317255,5.1479,True,2,0.6469,NGIQ-BR-00000245;NGIQ-BR-00000020,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000762,"VPM (Thalamus, ventral posterior medial Nucleus) left",left,NGIQ-BR-00000235,Thalamus,NGIQ-BR-00000245,NGIQ-BR-00000245,NGIQ-BR-00000235,0.45566484,0.37342026,0.88644559,2.5319,True,2,0.8291,NGIQ-BR-00000245;NGIQ-BR-00000235,PARTIAL_SET_CONCORDANT_REVIEW,owner check as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000769,"CL (Thalamus, anterior intralaminar nuclei) right",right,NGIQ-BR-00000232,Thalamus,NGIQ-BR-00000246,NGIQ-BR-00000246,NGIQ-BR-00000232,0.31665346,0.20239447,0.98728034,6.3978,True,2,0.519,NGIQ-BR-00000246;NGIQ-BR-00000232,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000770,"CL (Thalamus, anterior intralaminar nuclei) left",left,NGIQ-BR-00000020,Thalamus,NGIQ-BR-00000245,NGIQ-BR-00000245,NGIQ-BR-00000020,0.24013596,0.21649375,0.97925325,6.5399,True,2,0.4566,NGIQ-BR-00000245;NGIQ-BR-00000020,TRUE_PP_HARDLABEL_CONFLICT,keep conflict review,G4_G3_SCIENTIFIC_POLICY_V1
