hypothetical_cut_on_hard_top1_coverage,n_components_all_414,n_components_one_to_one_390,pct_all_414,pct_one_to_one_390,status
0.5,156,148,37.68,37.95,DESCRIPTIVE_ONLY_NOT_SCIENTIFICALLY_APPROVED
0.6,89,85,21.5,21.79,DESCRIPTIVE_ONLY_NOT_SCIENTIFICALLY_APPROVED
0.7,49,47,11.84,12.05,DESCRIPTIVE_ONLY_NOT_SCIENTIFICALLY_APPROVED
0.8,24,24,5.8,6.15,DESCRIPTIVE_ONLY_NOT_SCIENTIFICALLY_APPROVED
0.9,6,6,1.45,1.54,DESCRIPTIVE_ONLY_NOT_SCIENTIFICALLY_APPROVED
