row_index,julich_component_id,julich_region_name,julich_hemisphere,canonical_descendant_count,canonical_g4_ids,canonical_g4_names,pp_top1_g3_id,pp_top1_name,pp_top1_joint_mass,hard_top1_g3_id,hard_top1_coverage,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,shared_evidence_status,independent_leaf_spatial_evidence,note
241,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S24_SACC,Area s24 (sACC) left,left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S24_S24A_SACC_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S24_S24B_SACC_LEFT,Area s24.s24a (sACC) left;Area s24.s24b (sACC) left,NGIQ-BR-00000193,CG_L_7_7,245.97755483,NGIQ-BR-00000193,0.52711863,0.91612144,0.08387856,2.2271,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
242,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S24_SACC,Area s24 (sACC) right,right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S24_S24A_SACC_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_S24_S24B_SACC_RIGHT,Area s24.s24a (sACC) right;Area s24.s24b (sACC) right,NGIQ-BR-00000066,OrG_R_6_5,231.96963019,NGIQ-BR-00000066,0.35477236,0.85943714,0.14056286,4.2103,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
299,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM (Amygdala) left,left,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_LEFT,CM.AAA (Amygdala) left;CM.Ce (Amygdala) left;CM.Me (Amygdala) left,NGIQ-BR-00000215,Amyg_L_2_1,172.82613108,NGIQ-BR-00000215,0.22233381,0.76570915,0.23429085,5.4924,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
300,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA,CM (Amygdala) right,right,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_RIGHT,CM.AAA (Amygdala) right;CM.Ce (Amygdala) right;CM.Me (Amygdala) right,NGIQ-BR-00000216,Amyg_R_2_1,228.16939164,NGIQ-BR-00000216,0.29214318,0.62431317,0.37568683,3.8436,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
323,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA,IF (Amygdala) left,left,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_LEFT,IF.ice (Amygdala) left;IF.iol (Amygdala) left;IF.ld (Amygdala) left,NGIQ-BR-00000217,Amyg_L_2_2,156.68161085,NGIQ-BR-00000217,0.33916912,0.68280195,0.31719805,3.4664,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
324,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_AMYGDALA,IF (Amygdala) right,right,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_RIGHT,IF.ice (Amygdala) right;IF.iol (Amygdala) right;IF.ld (Amygdala) right,NGIQ-BR-00000218,Amyg_R_2_2,146.92445028,NGIQ-BR-00000218,0.41601485,0.61049106,0.38950894,2.2528,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
325,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB (Amygdala) left,left,4,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_LEFT,LB.Bl (Amygdala) left;LB.Bm (Amygdala) left;LB.La (Amygdala) left;LB.Pl (Amygdala) left,NGIQ-BR-00000215,Amyg_L_2_1,340.58621151,NGIQ-BR-00000017,0.32168084,0.92483303,0.07516697,3.4628,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
326,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB (Amygdala) right,right,4,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_RIGHT,LB.Bl (Amygdala) right;LB.Bm (Amygdala) right;LB.La (Amygdala) right;LB.Pl (Amygdala) right,NGIQ-BR-00000216,Amyg_R_2_1,309.58819561,NGIQ-BR-00000218,0.40810337,0.8813188,0.1186812,3.0523,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
335,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_AMYGDALA,MF (Amygdala) left,left,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_LEFT,MF.icm (Amygdala) left;MF.lm (Amygdala) left,NGIQ-BR-00000215,Amyg_L_2_1,108.94473727,NGIQ-BR-00000017,0.49931826,0.92473714,0.07526286,2.7357,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
336,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_AMYGDALA,MF (Amygdala) right,right,2,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_RIGHT,MF.icm (Amygdala) right;MF.lm (Amygdala) right,NGIQ-BR-00000216,Amyg_R_2_1,125.0128394,NGIQ-BR-00000216,0.58120762,0.93507781,0.06492219,2.5152,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
367,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF (Amygdala) left,left,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_LEFT,SF.AHi (Amygdala) left;SF.APir (Amygdala) left;SF.VCo (Amygdala) left,NGIQ-BR-00000215,Amyg_L_2_1,304.26643731,NGIQ-BR-00000215,0.47511073,0.89587853,0.10412147,2.8226,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
368,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF (Amygdala) right,right,3,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_RIGHT,SF.AHi (Amygdala) right;SF.APir (Amygdala) right;SF.VCo (Amygdala) right,NGIQ-BR-00000216,Amyg_R_2_1,497.81077275,NGIQ-BR-00000216,0.60122441,0.85152456,0.14847544,2.5227,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
379,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_HIPPOCAMPUS_SUBICULAR_COMPLEX,"Subc (Hippocampus, Subicular complex) left",left,4,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_PAS_HIPPOCAMPUS_PARASUBICULUM_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_PRES_HIPPOCAMPUS_PRESUBICULUM_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_PROS_HIPPOCAMPUS_PROSUBICULUM_LEFT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_SUB_HIPPOCAMPUS_SUBICULUM_LEFT,"Subc.PaS (Hippocampus, Parasubiculum) left;Subc.PreS (Hippocampus, Presubiculum) left;Subc.ProS (Hippocampus, Prosubiculum) left;Subc.Sub (Hippocampus, Subiculum) left",NGIQ-BR-00000017,Hipp_L_2_1,609.56275692,NGIQ-BR-00000017,0.22747006,0.79195563,0.20804437,6.6654,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
380,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_HIPPOCAMPUS_SUBICULAR_COMPLEX,"Subc (Hippocampus, Subicular complex) right",right,4,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_PAS_HIPPOCAMPUS_PARASUBICULUM_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_PRES_HIPPOCAMPUS_PRESUBICULUM_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_PROS_HIPPOCAMPUS_PROSUBICULUM_RIGHT;JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUBC_SUB_HIPPOCAMPUS_SUBICULUM_RIGHT,"Subc.PaS (Hippocampus, Parasubiculum) right;Subc.PreS (Hippocampus, Presubiculum) right;Subc.ProS (Hippocampus, Prosubiculum) right;Subc.Sub (Hippocampus, Subiculum) right",NGIQ-BR-00000018,Hipp_R_2_1,720.89567526,NGIQ-BR-00000018,0.25389957,0.7886398,0.2113602,6.6599,SHARED_COMPONENT_LEVEL_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,single official probability map per spatial component; no finer leaf map in the 414-map official set; component-level evidence must not be duplicated across canonical leaves
