candidate_id,source_entity_id,target_entity_id,mapping_relation,decision_fidelity_status,target_identity_status,hemisphere_status,coverage_status,method_status,lifecycle_status,provenance_status,review_result
G3G1-STAGE-A96A28EA7E62023E3F1C,NGIQ-BR-00000003,NGIQ-BR-00000284,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-7AAD7FD134672F6E0FFA,NGIQ-BR-00000004,NGIQ-BR-00000315,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B8D099959A13A07580CC,NGIQ-BR-00000049,NGIQ-BR-00000284,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-043CB794EC3AB3C80D8A,NGIQ-BR-00000049,NGIQ-BR-00000286,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C9D98ABF7C212F07CFAD,NGIQ-BR-00000050,NGIQ-BR-00000315,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-03FF042864CFBD4B10BE,NGIQ-BR-00000050,NGIQ-BR-00000317,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-965F1B0749CA40217399,NGIQ-BR-00000051,NGIQ-BR-00000286,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-2A04738C6FB7C0644760,NGIQ-BR-00000052,NGIQ-BR-00000317,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-6E1F41030261AE6F7BCF,NGIQ-BR-00000053,NGIQ-BR-00000284,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C75BD5DEE8A5DD736EDC,NGIQ-BR-00000053,NGIQ-BR-00000286,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1378901230E78D75F2C7,NGIQ-BR-00000054,NGIQ-BR-00000315,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-BFBF3A64B6033353719C,NGIQ-BR-00000054,NGIQ-BR-00000317,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1E50ADDD288C64F0AF2E,NGIQ-BR-00000055,NGIQ-BR-00000284,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B516779D8918883F4B93,NGIQ-BR-00000056,NGIQ-BR-00000315,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-FA88AAEB6FFD307136EC,NGIQ-BR-00000057,NGIQ-BR-00000280,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F3F71A31D68B7BC65229,NGIQ-BR-00000058,NGIQ-BR-00000311,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F637847DE701F3B91462,NGIQ-BR-00000059,NGIQ-BR-00000278,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F90BA6165CB2555C2AF9,NGIQ-BR-00000059,NGIQ-BR-00000285,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-A71D0C697E2F73F220FE,NGIQ-BR-00000060,NGIQ-BR-00000309,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-530129CBEEB0B389FD39,NGIQ-BR-00000060,NGIQ-BR-00000316,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-EACFFC5632081A674FE5,NGIQ-BR-00000061,NGIQ-BR-00000278,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-D40D5774A61904153389,NGIQ-BR-00000062,NGIQ-BR-00000309,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-819CF186E5BFA7034B0A,NGIQ-BR-00000063,NGIQ-BR-00000280,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-EBB1BD3A893B056C4E93,NGIQ-BR-00000063,NGIQ-BR-00000278,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-6368787E0038320C87D1,NGIQ-BR-00000064,NGIQ-BR-00000311,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-86E66FA36AF12640FD42,NGIQ-BR-00000064,NGIQ-BR-00000309,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F1F5DEAF59734BEBCF97,NGIQ-BR-00000065,NGIQ-BR-00000280,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
