hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,left_right_pair_id,current_authority_decision,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top1_minus_top2_margin,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio
left,NGIQ-BR-00000093,79,STG_L_6_6,rostral area 22,STG,STG_6_6,PENDING_HUMAN_REVIEW,superiortemporal,0.994943,middletemporal,0.005057,0.989886,Left Superior Temporal Gyrus,0.994943,0,0.0
left,NGIQ-BR-00000121,109,PhG_L_6_1,rostral area 35/36,PhG,PhG_6_1,PENDING_HUMAN_REVIEW,entorhinal,0.974747,fusiform,0.025253,0.949495,Left Entorhinal Cortex,0.974747,0,0.0
left,NGIQ-BR-00000123,111,PhG_L_6_2,caudal area 35/36,PhG,PhG_6_2,PENDING_HUMAN_REVIEW,parahippocampal,0.928191,entorhinal,0.071809,0.856383,Left Parahippocampal Gyrus,0.928191,0,0.0
left,NGIQ-BR-00000125,113,PhG_L_6_3,"area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG,PhG_6_3,PENDING_HUMAN_REVIEW,parahippocampal,0.979133,fusiform,0.020867,0.958266,Left Parahippocampal Gyrus,0.979133,0,0.0
left,NGIQ-BR-00000127,115,PhG_L_6_4,"area 28/34 (EC, entorhinal cortex)",PhG,PhG_6_4,PENDING_HUMAN_REVIEW,entorhinal,0.607046,parahippocampal,0.392954,0.214092,Left Entorhinal Cortex,0.607046,0,0.0
left,NGIQ-BR-00000129,117,PhG_L_6_5,area TI(temporal agranular insular cortex),PhG,PhG_6_5,PENDING_HUMAN_REVIEW,entorhinal,0.833333,temporalpole,0.114583,0.78125,Left Entorhinal Cortex,0.833333,0.114583,0.0
left,NGIQ-BR-00000131,119,PhG_L_6_6,area TH (medial PPHC),PhG,PhG_6_6,PENDING_HUMAN_REVIEW,parahippocampal,0.896471,lingual,0.077647,0.818824,Left Parahippocampal Gyrus,0.896471,0,0.0
left,NGIQ-BR-00000011,135,IPL_L_6_1,caudal area 39(PGp),IPL,IPL_6_1,PENDING_HUMAN_REVIEW,inferiorparietal,0.969985,superiorparietal,0.025013,0.944972,Left Inferior Parietal Lobule,0.969985,0,0.0
left,NGIQ-BR-00000145,137,IPL_L_6_2,rostrodorsal area 39(Hip3),IPL,IPL_6_2,PENDING_HUMAN_REVIEW,inferiorparietal,0.794705,supramarginal,0.112016,0.682688,Left Inferior Parietal Lobule,0.794705,0,0.0
left,NGIQ-BR-00000147,139,IPL_L_6_3,rostrodorsal area 40(PFt),IPL,IPL_6_3,PENDING_HUMAN_REVIEW,supramarginal,0.974017,postcentral,0.022121,0.951896,Left Supramarginal Gyrus,0.974017,0,0.0
left,NGIQ-BR-00000149,141,IPL_L_6_4,caudal area 40(PFm),IPL,IPL_6_4,PENDING_HUMAN_REVIEW,supramarginal,0.82732,inferiorparietal,0.154466,0.672855,Left Supramarginal Gyrus,0.82732,0,0.0
left,NGIQ-BR-00000151,143,IPL_L_6_5,rostroventral area 39(PGa),IPL,IPL_6_5,PENDING_HUMAN_REVIEW,inferiorparietal,0.901837,supramarginal,0.085247,0.81659,Left Inferior Parietal Lobule,0.901837,0.004592,0.0
left,NGIQ-BR-00000153,145,IPL_L_6_6,rostroventral area 40(PFop),IPL,IPL_6_6,PENDING_HUMAN_REVIEW,supramarginal,0.970365,superiortemporal,0.018432,0.951934,Left Supramarginal Gyrus,0.970365,0,0.0
left,NGIQ-BR-00000181,175,CG_L_7_1,dorsal area 23,CG,CG_7_1,PENDING_HUMAN_REVIEW,isthmuscingulate,0.608768,posteriorcingulate,0.378825,0.229942,Left Isthmus Of Cingulate Gyrus,0.608768,0,0.0
