spatial_region_id,spatial_region_name,hemisphere,representation_type,external_region_id,g4_entity_id,g4_name,alignment_method,alignment_status
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN_LEFT,Ch 123 (Basal Forebrain) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CH_123_BASAL_FOREBRAIN_LEFT,NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_RIGHT,CM.AAA (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_RIGHT,NGIQ-BR-00000347,CM.AAA (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_RIGHT,CM.Ce (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_RIGHT,NGIQ-BR-00000348,CM.Ce (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_RIGHT,CM.Me (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_RIGHT,NGIQ-BR-00000349,CM.Me (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_LEFT,CM.AAA (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AAA_AMYGDALA_LEFT,NGIQ-BR-00000350,CM.AAA (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_LEFT,CM.Ce (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_LEFT,NGIQ-BR-00000351,CM.Ce (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_LEFT,CM.Me (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_LEFT,NGIQ-BR-00000352,CM.Me (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_RIGHT,LB.Bl (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_RIGHT,NGIQ-BR-00000353,LB.Bl (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_RIGHT,LB.Bm (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_RIGHT,NGIQ-BR-00000354,LB.Bm (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_RIGHT,LB.Pl (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_RIGHT,NGIQ-BR-00000355,LB.Pl (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_RIGHT,LB.La (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_RIGHT,NGIQ-BR-00000356,LB.La (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_LEFT,LB.Bl (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_LEFT,NGIQ-BR-00000357,LB.Bl (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_LEFT,LB.Bm (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_LEFT,NGIQ-BR-00000358,LB.Bm (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_LEFT,LB.Pl (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_LEFT,NGIQ-BR-00000359,LB.Pl (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_LEFT,LB.La (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_LEFT,NGIQ-BR-00000360,LB.La (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_RIGHT,SF.AHi (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_RIGHT,NGIQ-BR-00000361,SF.AHi (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_RIGHT,SF.APir (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_RIGHT,NGIQ-BR-00000362,SF.APir (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_RIGHT,SF.VCo (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_RIGHT,NGIQ-BR-00000363,SF.VCo (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_LEFT,SF.AHi (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_LEFT,NGIQ-BR-00000364,SF.AHi (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_LEFT,SF.APir (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_LEFT,NGIQ-BR-00000365,SF.APir (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_LEFT,SF.VCo (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_LEFT,NGIQ-BR-00000366,SF.VCo (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_RIGHT,Astr (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_RIGHT,NGIQ-BR-00000367,Astr (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_LEFT,Astr (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA_LEFT,NGIQ-BR-00000368,Astr (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_RIGHT,VTM (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_RIGHT,NGIQ-BR-00000369,VTM (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_LEFT,VTM (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA_LEFT,NGIQ-BR-00000370,VTM (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_RIGHT,IF.ice (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_RIGHT,NGIQ-BR-00000371,IF.ice (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_RIGHT,IF.iol (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_RIGHT,NGIQ-BR-00000372,IF.iol (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_RIGHT,IF.ld (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_RIGHT,NGIQ-BR-00000373,IF.ld (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_LEFT,IF.ice (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_ICE_AMYGDALA_LEFT,NGIQ-BR-00000374,IF.ice (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_LEFT,IF.iol (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_IOL_AMYGDALA_LEFT,NGIQ-BR-00000375,IF.iol (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_LEFT,IF.ld (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_IF_LD_AMYGDALA_LEFT,NGIQ-BR-00000376,IF.ld (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_RIGHT,MF.icm (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_RIGHT,NGIQ-BR-00000377,MF.icm (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_RIGHT,MF.lm (Amygdala) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_RIGHT,NGIQ-BR-00000378,MF.lm (Amygdala) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_LEFT,MF.icm (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_ICM_AMYGDALA_LEFT,NGIQ-BR-00000379,MF.icm (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_LEFT,MF.lm (Amygdala) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MF_LM_AMYGDALA_LEFT,NGIQ-BR-00000380,MF.lm (Amygdala) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_RIGHT,Area 5L (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_RIGHT,NGIQ-BR-00000381,Area 5L (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_LEFT,Area 5L (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_LEFT,NGIQ-BR-00000382,Area 5L (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_RIGHT,Area 7M (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_RIGHT,NGIQ-BR-00000383,Area 7M (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_LEFT,Area 7M (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_LEFT,NGIQ-BR-00000384,Area 7M (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_RIGHT,Area 7PC (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_RIGHT,NGIQ-BR-00000385,Area 7PC (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_LEFT,Area 7PC (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_LEFT,NGIQ-BR-00000386,Area 7PC (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_RIGHT,Area 5M (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_RIGHT,NGIQ-BR-00000387,Area 5M (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_LEFT,Area 5M (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_LEFT,NGIQ-BR-00000388,Area 5M (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_RIGHT,Area 7P (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_RIGHT,NGIQ-BR-00000389,Area 7P (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_LEFT,Area 7P (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_LEFT,NGIQ-BR-00000390,Area 7P (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_RIGHT,Area 5Ci (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_RIGHT,NGIQ-BR-00000391,Area 5Ci (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_LEFT,Area 5Ci (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_LEFT,NGIQ-BR-00000392,Area 5Ci (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_RIGHT,Area 7A (SPL) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_RIGHT,NGIQ-BR-00000393,Area 7A (SPL) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_LEFT,Area 7A (SPL) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_LEFT,NGIQ-BR-00000394,Area 7A (SPL) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_RIGHT,Area 3b (PostCG) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_RIGHT,NGIQ-BR-00000395,Area 3b (PostCG) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_LEFT,Area 3b (PostCG) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_LEFT,NGIQ-BR-00000396,Area 3b (PostCG) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_RIGHT,Area 1 (PostCG) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_RIGHT,NGIQ-BR-00000397,Area 1 (PostCG) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_LEFT,Area 1 (PostCG) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_1_POSTCG_LEFT,NGIQ-BR-00000398,Area 1 (PostCG) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_RIGHT,Area 2 (PostCS) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_RIGHT,NGIQ-BR-00000399,Area 2 (PostCS) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_LEFT,Area 2 (PostCS) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_LEFT,NGIQ-BR-00000400,Area 2 (PostCS) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_RIGHT,Area 3a (PostCG) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_RIGHT,NGIQ-BR-00000401,Area 3a (PostCG) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_LEFT,Area 3a (PostCG) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_LEFT,NGIQ-BR-00000402,Area 3a (PostCG) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_RIGHT,Area Op1 (POperc) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_RIGHT,NGIQ-BR-00000403,Area Op1 (POperc) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_LEFT,Area Op1 (POperc) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP1_POPERC_LEFT,NGIQ-BR-00000404,Area Op1 (POperc) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_RIGHT,Area Op2 (POperc) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_RIGHT,NGIQ-BR-00000405,Area Op2 (POperc) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_LEFT,Area Op2 (POperc) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP2_POPERC_LEFT,NGIQ-BR-00000406,Area Op2 (POperc) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_RIGHT,Area Op3 (POperc) right,right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_RIGHT,NGIQ-BR-00000407,Area Op3 (POperc) right,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_LEFT,Area Op3 (POperc) left,left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP3_POPERC_LEFT,NGIQ-BR-00000408,Area Op3 (POperc) left,DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
