spatial_region_id,spatial_region_name,hemisphere,representation_type,external_region_id,g4_entity_id,g4_name,alignment_method,alignment_status
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VM_THALAMUS_VENTRAL_MEDIAL_NUCLEUS_RIGHT,"VM (Thalamus, ventral medial Nucleus) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VM_THALAMUS_VENTRAL_MEDIAL_NUCLEUS_RIGHT,NGIQ-BR-00000753,"VM (Thalamus, ventral medial Nucleus) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VM_THALAMUS_VENTRAL_MEDIAL_NUCLEUS_LEFT,"VM (Thalamus, ventral medial Nucleus) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VM_THALAMUS_VENTRAL_MEDIAL_NUCLEUS_LEFT,NGIQ-BR-00000754,"VM (Thalamus, ventral medial Nucleus) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL_RIGHT,"VA (Thalamus, ventral anterior Nucleus (ventral)) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL_RIGHT,NGIQ-BR-00000755,"VA (Thalamus, ventral anterior Nucleus (ventral)) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL_LEFT,"VA (Thalamus, ventral anterior Nucleus (ventral)) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL_LEFT,NGIQ-BR-00000756,"VA (Thalamus, ventral anterior Nucleus (ventral)) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VLA_THALAMUS_VENTRAL_LATERAL_ANTERIOR_NUCLEUS_RIGHT,"VLA (Thalamus, ventral lateral anterior Nucleus) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VLA_THALAMUS_VENTRAL_LATERAL_ANTERIOR_NUCLEUS_RIGHT,NGIQ-BR-00000757,"VLA (Thalamus, ventral lateral anterior Nucleus) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VLA_THALAMUS_VENTRAL_LATERAL_ANTERIOR_NUCLEUS_LEFT,"VLA (Thalamus, ventral lateral anterior Nucleus) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VLA_THALAMUS_VENTRAL_LATERAL_ANTERIOR_NUCLEUS_LEFT,NGIQ-BR-00000758,"VLA (Thalamus, ventral lateral anterior Nucleus) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VAMC_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_MAGNOCELLULAR_PART_RIGHT,"VAmc (Thalamus, ventral anterior Nucleus, magnocellular part) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VAMC_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_MAGNOCELLULAR_PART_RIGHT,NGIQ-BR-00000759,"VAmc (Thalamus, ventral anterior Nucleus, magnocellular part) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VAMC_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_MAGNOCELLULAR_PART_LEFT,"VAmc (Thalamus, ventral anterior Nucleus, magnocellular part) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VAMC_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_MAGNOCELLULAR_PART_LEFT,NGIQ-BR-00000760,"VAmc (Thalamus, ventral anterior Nucleus, magnocellular part) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPM_THALAMUS_VENTRAL_POSTERIOR_MEDIAL_NUCLEUS_RIGHT,"VPM (Thalamus, ventral posterior medial Nucleus) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPM_THALAMUS_VENTRAL_POSTERIOR_MEDIAL_NUCLEUS_RIGHT,NGIQ-BR-00000761,"VPM (Thalamus, ventral posterior medial Nucleus) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPM_THALAMUS_VENTRAL_POSTERIOR_MEDIAL_NUCLEUS_LEFT,"VPM (Thalamus, ventral posterior medial Nucleus) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VPM_THALAMUS_VENTRAL_POSTERIOR_MEDIAL_NUCLEUS_LEFT,NGIQ-BR-00000762,"VPM (Thalamus, ventral posterior medial Nucleus) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SPF_THALAMUS_SUBPARAFASCICULAR_NUCLEUS_RIGHT,"sPf (Thalamus, subparafascicular Nucleus) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SPF_THALAMUS_SUBPARAFASCICULAR_NUCLEUS_RIGHT,NGIQ-BR-00000763,"sPf (Thalamus, subparafascicular Nucleus) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SPF_THALAMUS_SUBPARAFASCICULAR_NUCLEUS_LEFT,"sPf (Thalamus, subparafascicular Nucleus) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SPF_THALAMUS_SUBPARAFASCICULAR_NUCLEUS_LEFT,NGIQ-BR-00000764,"sPf (Thalamus, subparafascicular Nucleus) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS_RIGHT,"Pf (Thalamus, parafascicular Nucleus) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS_RIGHT,NGIQ-BR-00000765,"Pf (Thalamus, parafascicular Nucleus) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS_LEFT,"Pf (Thalamus, parafascicular Nucleus) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS_LEFT,NGIQ-BR-00000766,"Pf (Thalamus, parafascicular Nucleus) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_THALAMUS_CENTROMEDIAN_NUCLEUS_RIGHT,"CM (Thalamus, centromedian Nucleus) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_THALAMUS_CENTROMEDIAN_NUCLEUS_RIGHT,NGIQ-BR-00000767,"CM (Thalamus, centromedian Nucleus) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_THALAMUS_CENTROMEDIAN_NUCLEUS_LEFT,"CM (Thalamus, centromedian Nucleus) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_THALAMUS_CENTROMEDIAN_NUCLEUS_LEFT,NGIQ-BR-00000768,"CM (Thalamus, centromedian Nucleus) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_RIGHT,"CL (Thalamus, anterior intralaminar nuclei) right",right,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_RIGHT,NGIQ-BR-00000769,"CL (Thalamus, anterior intralaminar nuclei) right",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_LEFT,"CL (Thalamus, anterior intralaminar nuclei) left",left,"probabilistic (cytoarchitectonic PM; per-map, not single deterministic volume)",JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_LEFT,NGIQ-BR-00000770,"CL (Thalamus, anterior intralaminar nuclei) left",DETERMINISTIC_JULICH_SOURCE_REGION_ID,ALIGNED
