hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_unlabeled_vertex_count,dk_unlabeled_ratio,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top3_dk_label,top3_dk_source_coverage,top1_minus_top2_margin,top1_g1_entity_id,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio,number_of_overlapping_dk_regions,coverage_sum_error
left,NGIQ-BR-00000051,35,IFG_L_6_4,rostral area 45,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,661,0,0.0,parstriangularis,0.92587,rostralmiddlefrontal,0.07413,,0,0.85174,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",0.92587,0,0.0,2,0.0
left,NGIQ-BR-00000053,37,IFG_L_6_5,opercular area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1437,0,0.0,parstriangularis,0.583855,parsopercularis,0.399443,insula,0.010438,0.184412,NGIQ-BR-00000286,"Left Inferior Frontal Gyrus, Pars Triangularis",0.583855,0,0.0,4,0.0
left,NGIQ-BR-00000055,39,IFG_L_6_6,ventral area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,649,0,0.0,parsopercularis,0.992296,precentral,0.007704,,0,0.984592,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",0.992296,0,0.0,2,0.0
left,NGIQ-BR-00000057,41,OrG_L_6_1,medial area 14,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,855,0,0.0,medialorbitofrontal,0.808187,frontalpole,0.098246,superiorfrontal,0.092398,0.715789,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,0.808187,0.098246,0.0,4,0.0
left,NGIQ-BR-00000059,43,OrG_L_6_2,orbital area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,805,0,0.0,lateralorbitofrontal,0.581366,parsorbitalis,0.418634,,0,0.162733,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,0.581366,0,0.0,2,0.0
left,NGIQ-BR-00000061,45,OrG_L_6_3,lateral area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1621,0,0.0,lateralorbitofrontal,0.99013,parsorbitalis,0.00987,,0,0.980259,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,0.99013,0,0.0,2,0.0
left,NGIQ-BR-00000063,47,OrG_L_6_4,medial area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1218,0,0.0,medialorbitofrontal,0.569787,lateralorbitofrontal,0.237274,frontalpole,0.151888,0.332512,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,0.569787,0.151888,0.0,4,0.0
left,NGIQ-BR-00000065,49,OrG_L_6_5,area 13,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2021,0,0.0,medialorbitofrontal,0.60663,lateralorbitofrontal,0.357249,rostralanteriorcingulate,0.018803,0.249381,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,0.60663,0,0.0,4,0.0
left,NGIQ-BR-00000067,51,OrG_L_6_6,lateral area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1482,0,0.0,lateralorbitofrontal,0.506073,parsorbitalis,0.391363,parstriangularis,0.078947,0.11471,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,0.506073,0,0.0,4,0.0
left,NGIQ-BR-00000069,53,PrG_L_6_1,area 4(head and face region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,3000,0,0.0,precentral,0.996333,postcentral,0.003667,,0,0.992667,NGIQ-BR-00000290,Left Precentral Gyrus,0.996333,0,0.0,2,0.0
