column_index,component_index,parcel_id,canonical_g3_id,g3_region_name,g3_hemisphere,output_asset
32,32,32,NGIQ-BR-00000048,IFG_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp032_IFG_R_6_2_prob_2009c.nii.gz
33,33,33,NGIQ-BR-00000049,IFG_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp033_IFG_L_6_3_prob_2009c.nii.gz
34,34,34,NGIQ-BR-00000050,IFG_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp034_IFG_R_6_3_prob_2009c.nii.gz
35,35,35,NGIQ-BR-00000051,IFG_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp035_IFG_L_6_4_prob_2009c.nii.gz
36,36,36,NGIQ-BR-00000052,IFG_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp036_IFG_R_6_4_prob_2009c.nii.gz
37,37,37,NGIQ-BR-00000053,IFG_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp037_IFG_L_6_5_prob_2009c.nii.gz
38,38,38,NGIQ-BR-00000054,IFG_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp038_IFG_R_6_5_prob_2009c.nii.gz
39,39,39,NGIQ-BR-00000055,IFG_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp039_IFG_L_6_6_prob_2009c.nii.gz
40,40,40,NGIQ-BR-00000056,IFG_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp040_IFG_R_6_6_prob_2009c.nii.gz
41,41,41,NGIQ-BR-00000057,OrG_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp041_OrG_L_6_1_prob_2009c.nii.gz
42,42,42,NGIQ-BR-00000058,OrG_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp042_OrG_R_6_1_prob_2009c.nii.gz
43,43,43,NGIQ-BR-00000059,OrG_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp043_OrG_L_6_2_prob_2009c.nii.gz
44,44,44,NGIQ-BR-00000060,OrG_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp044_OrG_R_6_2_prob_2009c.nii.gz
45,45,45,NGIQ-BR-00000061,OrG_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp045_OrG_L_6_3_prob_2009c.nii.gz
46,46,46,NGIQ-BR-00000062,OrG_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp046_OrG_R_6_3_prob_2009c.nii.gz
47,47,47,NGIQ-BR-00000063,OrG_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp047_OrG_L_6_4_prob_2009c.nii.gz
48,48,48,NGIQ-BR-00000064,OrG_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp048_OrG_R_6_4_prob_2009c.nii.gz
49,49,49,NGIQ-BR-00000065,OrG_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp049_OrG_L_6_5_prob_2009c.nii.gz
50,50,50,NGIQ-BR-00000066,OrG_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp050_OrG_R_6_5_prob_2009c.nii.gz
51,51,51,NGIQ-BR-00000067,OrG_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp051_OrG_L_6_6_prob_2009c.nii.gz
52,52,52,NGIQ-BR-00000068,OrG_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp052_OrG_R_6_6_prob_2009c.nii.gz
53,53,53,NGIQ-BR-00000069,PrG_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp053_PrG_L_6_1_prob_2009c.nii.gz
54,54,54,NGIQ-BR-00000070,PrG_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp054_PrG_R_6_1_prob_2009c.nii.gz
55,55,55,NGIQ-BR-00000071,PrG_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp055_PrG_L_6_2_prob_2009c.nii.gz
56,56,56,NGIQ-BR-00000072,PrG_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp056_PrG_R_6_2_prob_2009c.nii.gz
57,57,57,NGIQ-BR-00000073,PrG_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp057_PrG_L_6_3_prob_2009c.nii.gz
58,58,58,NGIQ-BR-00000074,PrG_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp058_PrG_R_6_3_prob_2009c.nii.gz
59,59,59,NGIQ-BR-00000075,PrG_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp059_PrG_L_6_4_prob_2009c.nii.gz
60,60,60,NGIQ-BR-00000076,PrG_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp060_PrG_R_6_4_prob_2009c.nii.gz
61,61,61,NGIQ-BR-00000077,PrG_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp061_PrG_L_6_5_prob_2009c.nii.gz
62,62,62,NGIQ-BR-00000078,PrG_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp062_PrG_R_6_5_prob_2009c.nii.gz
63,63,63,NGIQ-BR-00000079,PrG_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp063_PrG_L_6_6_prob_2009c.nii.gz
64,64,64,NGIQ-BR-00000080,PrG_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp064_PrG_R_6_6_prob_2009c.nii.gz
65,65,65,NGIQ-BR-00000081,PCL_L_2_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp065_PCL_L_2_1_prob_2009c.nii.gz
66,66,66,NGIQ-BR-00000082,PCL_R_2_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp066_PCL_R_2_1_prob_2009c.nii.gz
67,67,67,NGIQ-BR-00000083,PCL_L_2_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp067_PCL_L_2_2_prob_2009c.nii.gz
68,68,68,NGIQ-BR-00000084,PCL_R_2_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp068_PCL_R_2_2_prob_2009c.nii.gz
