column_index,component_index,parcel_id,canonical_g3_id,g3_region_name,g3_hemisphere,output_asset
140,140,140,NGIQ-BR-00000148,IPL_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp140_IPL_R_6_3_prob_2009c.nii.gz
141,141,141,NGIQ-BR-00000149,IPL_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp141_IPL_L_6_4_prob_2009c.nii.gz
142,142,142,NGIQ-BR-00000150,IPL_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp142_IPL_R_6_4_prob_2009c.nii.gz
143,143,143,NGIQ-BR-00000151,IPL_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp143_IPL_L_6_5_prob_2009c.nii.gz
144,144,144,NGIQ-BR-00000152,IPL_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp144_IPL_R_6_5_prob_2009c.nii.gz
145,145,145,NGIQ-BR-00000153,IPL_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp145_IPL_L_6_6_prob_2009c.nii.gz
146,146,146,NGIQ-BR-00000154,IPL_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp146_IPL_R_6_6_prob_2009c.nii.gz
147,147,147,NGIQ-BR-00000155,PCun_L_4_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp147_PCun_L_4_1_prob_2009c.nii.gz
148,148,148,NGIQ-BR-00000156,PCun_R_4_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp148_PCun_R_4_1_prob_2009c.nii.gz
149,149,149,NGIQ-BR-00000157,PCun_L_4_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp149_PCun_L_4_2_prob_2009c.nii.gz
150,150,150,NGIQ-BR-00000158,PCun_R_4_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp150_PCun_R_4_2_prob_2009c.nii.gz
151,151,151,NGIQ-BR-00000159,PCun_L_4_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp151_PCun_L_4_3_prob_2009c.nii.gz
152,152,152,NGIQ-BR-00000160,PCun_R_4_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp152_PCun_R_4_3_prob_2009c.nii.gz
153,153,153,NGIQ-BR-00000161,PCun_L_4_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp153_PCun_L_4_4_prob_2009c.nii.gz
154,154,154,NGIQ-BR-00000162,PCun_R_4_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp154_PCun_R_4_4_prob_2009c.nii.gz
155,155,155,NGIQ-BR-00000163,PoG_L_4_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp155_PoG_L_4_1_prob_2009c.nii.gz
156,156,156,NGIQ-BR-00000164,PoG_R_4_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp156_PoG_R_4_1_prob_2009c.nii.gz
157,157,157,NGIQ-BR-00000165,PoG_L_4_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp157_PoG_L_4_2_prob_2009c.nii.gz
158,158,158,NGIQ-BR-00000166,PoG_R_4_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp158_PoG_R_4_2_prob_2009c.nii.gz
159,159,159,NGIQ-BR-00000167,PoG_L_4_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp159_PoG_L_4_3_prob_2009c.nii.gz
160,160,160,NGIQ-BR-00000168,PoG_R_4_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp160_PoG_R_4_3_prob_2009c.nii.gz
161,161,161,NGIQ-BR-00000169,PoG_L_4_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp161_PoG_L_4_4_prob_2009c.nii.gz
162,162,162,NGIQ-BR-00000170,PoG_R_4_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp162_PoG_R_4_4_prob_2009c.nii.gz
163,163,163,NGIQ-BR-00000013,INS_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp163_INS_L_6_1_prob_2009c.nii.gz
164,164,164,NGIQ-BR-00000014,INS_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp164_INS_R_6_1_prob_2009c.nii.gz
165,165,165,NGIQ-BR-00000171,INS_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp165_INS_L_6_2_prob_2009c.nii.gz
166,166,166,NGIQ-BR-00000172,INS_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp166_INS_R_6_2_prob_2009c.nii.gz
167,167,167,NGIQ-BR-00000173,INS_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp167_INS_L_6_3_prob_2009c.nii.gz
168,168,168,NGIQ-BR-00000174,INS_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp168_INS_R_6_3_prob_2009c.nii.gz
169,169,169,NGIQ-BR-00000175,INS_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp169_INS_L_6_4_prob_2009c.nii.gz
170,170,170,NGIQ-BR-00000176,INS_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp170_INS_R_6_4_prob_2009c.nii.gz
171,171,171,NGIQ-BR-00000177,INS_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp171_INS_L_6_5_prob_2009c.nii.gz
172,172,172,NGIQ-BR-00000178,INS_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp172_INS_R_6_5_prob_2009c.nii.gz
173,173,173,NGIQ-BR-00000179,INS_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp173_INS_L_6_6_prob_2009c.nii.gz
174,174,174,NGIQ-BR-00000180,INS_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp174_INS_R_6_6_prob_2009c.nii.gz
175,175,175,NGIQ-BR-00000181,CG_L_7_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp175_CG_L_7_1_prob_2009c.nii.gz
176,176,176,NGIQ-BR-00000182,CG_R_7_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp176_CG_R_7_1_prob_2009c.nii.gz
177,177,177,NGIQ-BR-00000183,CG_L_7_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp177_CG_L_7_2_prob_2009c.nii.gz
178,178,178,NGIQ-BR-00000184,CG_R_7_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp178_CG_R_7_2_prob_2009c.nii.gz
179,179,179,NGIQ-BR-00000185,CG_L_7_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp179_CG_L_7_3_prob_2009c.nii.gz
180,180,180,NGIQ-BR-00000186,CG_R_7_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp180_CG_R_7_3_prob_2009c.nii.gz
181,181,181,NGIQ-BR-00000187,CG_L_7_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp181_CG_L_7_4_prob_2009c.nii.gz
182,182,182,NGIQ-BR-00000188,CG_R_7_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp182_CG_R_7_4_prob_2009c.nii.gz
183,183,183,NGIQ-BR-00000189,CG_L_7_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp183_CG_L_7_5_prob_2009c.nii.gz
184,184,184,NGIQ-BR-00000190,CG_R_7_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp184_CG_R_7_5_prob_2009c.nii.gz
185,185,185,NGIQ-BR-00000191,CG_L_7_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp185_CG_L_7_6_prob_2009c.nii.gz
186,186,186,NGIQ-BR-00000192,CG_R_7_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp186_CG_R_7_6_prob_2009c.nii.gz
187,187,187,NGIQ-BR-00000193,CG_L_7_7,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp187_CG_L_7_7_prob_2009c.nii.gz
188,188,188,NGIQ-BR-00000194,CG_R_7_7,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp188_CG_R_7_7_prob_2009c.nii.gz
189,189,189,NGIQ-BR-00000015,MVOcC_L_5_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp189_MVOcC_L_5_1_prob_2009c.nii.gz
190,190,190,NGIQ-BR-00000016,MVOcC_R_5_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp190_MVOcC_R_5_1_prob_2009c.nii.gz
191,191,191,NGIQ-BR-00000195,MVOcC_L_5_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp191_MVOcC_L_5_2_prob_2009c.nii.gz
192,192,192,NGIQ-BR-00000196,MVOcC_R_5_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp192_MVOcC_R_5_2_prob_2009c.nii.gz
193,193,193,NGIQ-BR-00000197,MVOcC_L_5_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp193_MVOcC_L_5_3_prob_2009c.nii.gz
194,194,194,NGIQ-BR-00000198,MVOcC_R_5_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp194_MVOcC_R_5_3_prob_2009c.nii.gz
195,195,195,NGIQ-BR-00000199,MVOcC_L_5_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp195_MVOcC_L_5_4_prob_2009c.nii.gz
196,196,196,NGIQ-BR-00000200,MVOcC_R_5_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp196_MVOcC_R_5_4_prob_2009c.nii.gz
197,197,197,NGIQ-BR-00000201,MVOcC_L_5_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp197_MVOcC_L_5_5_prob_2009c.nii.gz
198,198,198,NGIQ-BR-00000202,MVOcC_R_5_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp198_MVOcC_R_5_5_prob_2009c.nii.gz
199,199,199,NGIQ-BR-00000203,LOcC_L_4_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp199_LOcC_L_4_1_prob_2009c.nii.gz
200,200,200,NGIQ-BR-00000204,LOcC_R_4_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp200_LOcC_R_4_1_prob_2009c.nii.gz
201,201,201,NGIQ-BR-00000205,LOcC_L_4_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp201_LOcC_L_4_2_prob_2009c.nii.gz
202,202,202,NGIQ-BR-00000206,LOcC_R_4_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp202_LOcC_R_4_2_prob_2009c.nii.gz
203,203,203,NGIQ-BR-00000207,LOcC_L_4_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp203_LOcC_L_4_3_prob_2009c.nii.gz
204,204,204,NGIQ-BR-00000208,LOcC_R_4_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp204_LOcC_R_4_3_prob_2009c.nii.gz
205,205,205,NGIQ-BR-00000209,LOcC_L_4_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp205_LOcC_L_4_4_prob_2009c.nii.gz
206,206,206,NGIQ-BR-00000210,LOcC_R_4_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp206_LOcC_R_4_4_prob_2009c.nii.gz
207,207,207,NGIQ-BR-00000211,LOcC_L_2_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp207_LOcC_L_2_1_prob_2009c.nii.gz
208,208,208,NGIQ-BR-00000212,LOcC_R_2_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp208_LOcC_R_2_1_prob_2009c.nii.gz
209,209,209,NGIQ-BR-00000213,LOcC_L_2_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp209_LOcC_L_2_2_prob_2009c.nii.gz
210,210,210,NGIQ-BR-00000214,LOcC_R_2_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp210_LOcC_R_2_2_prob_2009c.nii.gz
211,211,211,NGIQ-BR-00000215,Amyg_L_2_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp211_Amyg_L_2_1_prob_2009c.nii.gz
212,212,212,NGIQ-BR-00000216,Amyg_R_2_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp212_Amyg_R_2_1_prob_2009c.nii.gz
213,213,213,NGIQ-BR-00000217,Amyg_L_2_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp213_Amyg_L_2_2_prob_2009c.nii.gz
214,214,214,NGIQ-BR-00000218,Amyg_R_2_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp214_Amyg_R_2_2_prob_2009c.nii.gz
215,215,215,NGIQ-BR-00000017,Hipp_L_2_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp215_Hipp_L_2_1_prob_2009c.nii.gz
216,216,216,NGIQ-BR-00000018,Hipp_R_2_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp216_Hipp_R_2_1_prob_2009c.nii.gz
217,217,217,NGIQ-BR-00000219,Hipp_L_2_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp217_Hipp_L_2_2_prob_2009c.nii.gz
218,218,218,NGIQ-BR-00000220,Hipp_R_2_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp218_Hipp_R_2_2_prob_2009c.nii.gz
219,219,219,NGIQ-BR-00000019,BG_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp219_BG_L_6_1_prob_2009c.nii.gz
220,220,220,NGIQ-BR-00000221,BG_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp220_BG_R_6_1_prob_2009c.nii.gz
221,221,221,NGIQ-BR-00000222,BG_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp221_BG_L_6_2_prob_2009c.nii.gz
222,222,222,NGIQ-BR-00000223,BG_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp222_BG_R_6_2_prob_2009c.nii.gz
223,223,223,NGIQ-BR-00000224,BG_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp223_BG_L_6_3_prob_2009c.nii.gz
224,224,224,NGIQ-BR-00000225,BG_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp224_BG_R_6_3_prob_2009c.nii.gz
225,225,225,NGIQ-BR-00000226,BG_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp225_BG_L_6_4_prob_2009c.nii.gz
226,226,226,NGIQ-BR-00000227,BG_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp226_BG_R_6_4_prob_2009c.nii.gz
227,227,227,NGIQ-BR-00000228,BG_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp227_BG_L_6_5_prob_2009c.nii.gz
228,228,228,NGIQ-BR-00000229,BG_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp228_BG_R_6_5_prob_2009c.nii.gz
229,229,229,NGIQ-BR-00000230,BG_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp229_BG_L_6_6_prob_2009c.nii.gz
230,230,230,NGIQ-BR-00000231,BG_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp230_BG_R_6_6_prob_2009c.nii.gz
231,231,231,NGIQ-BR-00000020,Tha_L_8_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp231_Tha_L_8_1_prob_2009c.nii.gz
232,232,232,NGIQ-BR-00000232,Tha_R_8_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp232_Tha_R_8_1_prob_2009c.nii.gz
233,233,233,NGIQ-BR-00000233,Tha_L_8_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp233_Tha_L_8_2_prob_2009c.nii.gz
234,234,234,NGIQ-BR-00000234,Tha_R_8_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp234_Tha_R_8_2_prob_2009c.nii.gz
235,235,235,NGIQ-BR-00000235,Tha_L_8_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp235_Tha_L_8_3_prob_2009c.nii.gz
236,236,236,NGIQ-BR-00000236,Tha_R_8_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp236_Tha_R_8_3_prob_2009c.nii.gz
237,237,237,NGIQ-BR-00000237,Tha_L_8_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp237_Tha_L_8_4_prob_2009c.nii.gz
238,238,238,NGIQ-BR-00000238,Tha_R_8_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp238_Tha_R_8_4_prob_2009c.nii.gz
239,239,239,NGIQ-BR-00000239,Tha_L_8_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp239_Tha_L_8_5_prob_2009c.nii.gz
240,240,240,NGIQ-BR-00000240,Tha_R_8_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp240_Tha_R_8_5_prob_2009c.nii.gz
241,241,241,NGIQ-BR-00000241,Tha_L_8_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp241_Tha_L_8_6_prob_2009c.nii.gz
242,242,242,NGIQ-BR-00000242,Tha_R_8_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp242_Tha_R_8_6_prob_2009c.nii.gz
243,243,243,NGIQ-BR-00000243,Tha_L_8_7,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp243_Tha_L_8_7_prob_2009c.nii.gz
244,244,244,NGIQ-BR-00000244,Tha_R_8_7,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp244_Tha_R_8_7_prob_2009c.nii.gz
245,245,245,NGIQ-BR-00000245,Tha_L_8_8,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp245_Tha_L_8_8_prob_2009c.nii.gz
246,246,246,NGIQ-BR-00000246,Tha_R_8_8,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp246_Tha_R_8_8_prob_2009c.nii.gz
