canonical_g4_id,canonical_g4_name,hemisphere,decision_2ia,reason_code_2ia,revised_owner_stratum,top_target_g3,hard_top1_coverage,review_status
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,right,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,TRUE_PP_HARDLABEL_CONFLICT,NGIQ-BR-00000225,0.20614924,PENDING_OWNER_REVIEW
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000224,0.37380389,PENDING_OWNER_REVIEW
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,LOW_COVERAGE_CONFLICT,NGIQ-BR-00000221,0.13266221,PENDING_OWNER_REVIEW
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,LOW_COVERAGE_CONFLICT,NGIQ-BR-00000237,0.07775502,PENDING_OWNER_REVIEW
NGIQ-BR-00000345,Ch 123 (Basal Forebrain) right,right,CONFLICT_REVIEW,LOW_DOMINANCE,UNCHANGED_2IA_CONFLICT_REVIEW,NGIQ-BR-00000225,0.55092187,PENDING_OWNER_REVIEW
NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,left,CONFLICT_REVIEW,DIFFUSE_ASSOCIATION,UNCHANGED_2IA_CONFLICT_REVIEW,NGIQ-BR-00000065,0.22726568,PENDING_OWNER_REVIEW
NGIQ-BR-00000347,CM.AAA (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.29214318,PENDING_OWNER_REVIEW
NGIQ-BR-00000348,CM.Ce (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.29214318,PENDING_OWNER_REVIEW
NGIQ-BR-00000349,CM.Me (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000216,0.29214318,PENDING_OWNER_REVIEW
NGIQ-BR-00000350,CM.AAA (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000215,0.22233381,PENDING_OWNER_REVIEW
