row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,canonical_g4_descendant_count,canonical_g4_ids,canonical_g4_entity_ids,spatial_identity_status
12,AREA_2_POSTCS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS,Area 2 (PostCS) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_2_POSTCS_RIGHT,NGIQ-BR-00000399,ONE_TO_ONE_CANONICAL
13,AREA_33_ACC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_33_ACC,Area 33 (ACC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_33_ACC_LEFT,NGIQ-BR-00000648,ONE_TO_ONE_CANONICAL
14,AREA_33_ACC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_33_ACC,Area 33 (ACC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_33_ACC_RIGHT,NGIQ-BR-00000647,ONE_TO_ONE_CANONICAL
15,AREA_3A_POSTCG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG,Area 3a (PostCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_LEFT,NGIQ-BR-00000402,ONE_TO_ONE_CANONICAL
16,AREA_3A_POSTCG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG,Area 3a (PostCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3A_POSTCG_RIGHT,NGIQ-BR-00000401,ONE_TO_ONE_CANONICAL
17,AREA_3B_POSTCG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG,Area 3b (PostCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_LEFT,NGIQ-BR-00000396,ONE_TO_ONE_CANONICAL
18,AREA_3B_POSTCG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG,Area 3b (PostCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_3B_POSTCG_RIGHT,NGIQ-BR-00000395,ONE_TO_ONE_CANONICAL
19,AREA_44_IFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,Area 44 (IFG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG_LEFT,NGIQ-BR-00000500,ONE_TO_ONE_CANONICAL
20,AREA_44_IFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG,Area 44 (IFG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_44_IFG_RIGHT,NGIQ-BR-00000499,ONE_TO_ONE_CANONICAL
21,AREA_45_IFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG,Area 45 (IFG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG_LEFT,NGIQ-BR-00000502,ONE_TO_ONE_CANONICAL
22,AREA_45_IFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG,Area 45 (IFG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_45_IFG_RIGHT,NGIQ-BR-00000501,ONE_TO_ONE_CANONICAL
23,AREA_4A_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4A_PRECG,Area 4a (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4A_PRECG_LEFT,NGIQ-BR-00000472,ONE_TO_ONE_CANONICAL
24,AREA_4A_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4A_PRECG,Area 4a (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4A_PRECG_RIGHT,NGIQ-BR-00000471,ONE_TO_ONE_CANONICAL
25,AREA_4P_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,Area 4p (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG_LEFT,NGIQ-BR-00000470,ONE_TO_ONE_CANONICAL
26,AREA_4P_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,Area 4p (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG_RIGHT,NGIQ-BR-00000469,ONE_TO_ONE_CANONICAL
27,AREA_5CI_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,Area 5Ci (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_LEFT,NGIQ-BR-00000392,ONE_TO_ONE_CANONICAL
